,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
3366,Sữa tươi tiệt trùng nguyên kem Harvey Fresh 1L – F,55500,hộp,Co.op,milk,,,,,1000.0,55500.0
3368,Sữa tươi tiệt trùng Vinamilk 100% không đường thùng 48x180ml,403000,thùng,Co.op,milk,,,48.0,8395.833333333334,8640.0,46643.51851851852
3369,Sữa tươi tiệt trùng Vinamilk 100% không đường hộp giấy 1L,37500,hộp,Co.op,milk,,,,,1000.0,37500.0
3372,Sữa tươi tiệt trùng Vinamilk Green Farm không đường 4x180ml,39000,lốc,Co.op,milk,,,4.0,9750.0,720.0,54166.666666666664
3374,Sữa tươi tiệt trùng Vinamilk 100% không đường thùng 12x1L,449000,thùng,Co.op,milk,,,12.0,37416.666666666664,12000.0,37416.666666666664
3381,Sữa tươi tiệt trùng TH ngũ cốc 48x180ml,583200,thùng,Co.op,milk,,,48.0,12150.0,8640.0,67500.0
3382,Sữa tươi tiệt trùng TH ngũ cốc 4x180ml,48600,lốc,Co.op,milk,,,4.0,12150.0,720.0,67500.0
3383,Sữa tươi tiệt trùng Promess Vitamin hộp giấy 1L,49800,hộp,Co.op,milk,,,,,1000.0,49800.0
3389,Sữa tươi tiệt trùng Vinamilk 100% ít béo không đường thùng 48x180ml,403000,thùng,Co.op,milk,,,48.0,8395.833333333334,8640.0,46643.51851851852
3391,Sữa tươi tiệt trùng Anchor nguyên chất hộp giấy 1L,60500,hộp,Co.op,milk,,,,,1000.0,60500.0
3392,Sữa tươi tiệt trùng nguyên chất TH True Milk 4 x 110 ml,24900,lốc,Co.op,milk,,,4.0,6225.0,440.0,56590.909090909096
3393,Sữa tươi Devondale nguyên chất hộp 1L,67900,hộp,Co.op,milk,,,,,1000.0,67900.0
3399,Sữa tươi tiệt trùng TH không đường 48x180ml,446400,thùng,Co.op,milk,,,48.0,9300.0,8640.0,51666.666666666664
3403,Sữa tiệt trùng Dutch Lady không đường 48x180ml,395000,thùng,Co.op,milk,,,48.0,8229.166666666666,8640.0,45717.5925925926
3409,Sữa tươi tiệt trùng Dutch Lady không đường 12x965ml,418200,thùng,Co.op,milk,,,12.0,34850.0,11580.0,36113.9896373057
3412,Sữa tươi tiệt trùng Dalat không đường 48x180ml,422400,thùng,Co.op,milk,,,48.0,8800.0,8640.0,48888.88888888888
3413,Sữa tươi tiệt trùng Dalat không đường 4x180ml,35200,lốc,Co.op,milk,,,4.0,8800.0,720.0,48888.88888888888
3416,Sữa tươi VPmilk Uht không đường lốc 4 x 180ml,35600,lốc,Co.op,milk,,,4.0,8900.0,720.0,49444.444444444445
3429,Sữa tươi tiệt trùng TH True Milk nguyên chất hộp 1L,39200,hộp,Co.op,milk,,,,,1000.0,39200.0
3431,Sữa tiệt trùng Dutch Lady không đường hộp giấy 965ml,34900,hộp,Co.op,milk,,,,,965.0,36165.80310880829
3434,Sữa tươi Meadow Fresh ít béo hộp giấy 200ml,47500,lốc,Co.op,milk,,,,,200.0,237500.0
3435,Sữa tươi Meadow Fresh canxi 3 x 200ml,54500,lốc,Co.op,milk,,,3.0,18166.666666666668,600.0,90833.33333333333
3436,Sữa tươi Meadow Fresh nguyên kem hộp giấy 3 x 200ml,47500,lốc,Co.op,milk,,,3.0,15833.333333333334,600.0,79166.66666666667
3440,Sữa dinh dưỡng Vinamilk Flex không đường 1L,36500,hộp,Co.op,milk,,,,,1000.0,36500.0
3442,Sữa tiệt trùng Dutch Lady không đường lốc 4 x 180ml,33000,lốc,Co.op,milk,,,4.0,8250.0,720.0,45833.333333333336
3447,Sữa tươi Meadow Fresh nguyên kem hộp giấy 1L,52400,hộp,Co.op,milk,,,,,1000.0,52400.0
3448,Sữa tươi tiệt trùng Promess không béo hộp 1L,48800,hộp,Co.op,milk,,,,,1000.0,48800.0
3449,Sữa tươi tiệt trùng nguyên kem Promess hộp 1L,48800,hộp,Co.op,milk,,,,,1000.0,48800.0
3450,Sữa tươi tiệt trùng ít béo Promess hộp 1L,48800,hộp,Co.op,milk,,,,,1000.0,48800.0
3452,Sữa tươi tiệt trùng Promess ít béo 3x200ml,40300,lốc,Co.op,milk,,,3.0,13433.333333333334,600.0,67166.66666666667
3454,Sữa tươi thanh trùng Dalat milk nguyên chất 950ml,47600,hộp,Co.op,milk,,,,,950.0,50105.26315789474
3460,Sữa tươi tiệt trùng TH true MILK không đường lốc 4 hộp x 180ml,37200,lốc,Co.op,milk,,,,,720.0,51666.666666666664
3462,Sữa chua ăn TH Topkid vani 48 x 60g,294000,thùng,Co.op,yogurt,2880.0,102083.33333333333,48.0,6125.0,,
3463,Sữa chua hoa quả Hoff táo 4 x 55g,45700,lốc,Co.op,yogurt,220.0,207727.2727272727,4.0,11425.0,,
3464,Sữa chua hoa quả Hoff nguyên bản 4 x 55g,45700,lốc,Co.op,yogurt,220.0,207727.2727272727,4.0,11425.0,,
3467,Sữa chua ăn Vinamilk có đường lốc 4 hủ x 100g,26000,lốc,Co.op,yogurt,400.0,65000.0,,,,
3468,Sữa chua ăn Vinamilk ít đường lốc 4 x 100g,26000,lốc,Co.op,yogurt,400.0,65000.0,4.0,6500.0,,
3471,Sữa chua TH Yogurt ít đường 48x100g,350400,thùng,Co.op,yogurt,4800.0,73000.0,48.0,7300.0,,
3472,Sữa chua tươi nha đam Dalat Milk 100g – CX – F,11500,hộp,Co.op,yogurt,100.0,115000.0,,,,
3473,Sữa chua dâu tây Dalat Milk 100g – CX – F,11500,hộp,Co.op,yogurt,100.0,115000.0,,,,
3474,Sữa chua tươi vị đào Dalat Milk 100g – CX – F,11500,hộp,Co.op,yogurt,100.0,115000.0,,,,
3475,Sữa chua ăn Vinamilk lựu đỏ ít đường 24x100g,199000,thùng,Co.op,yogurt,2400.0,82916.66666666667,24.0,8291.666666666666,,
3476,Sữa chua ăn Vinamilk lựu đỏ ít đường 4x100g,33800,lốc,Co.op,yogurt,400.0,84500.0,4.0,8450.0,,
3477,Sữa chua ăn Vinamilk nha đam ít đường collagen 24x100g,199000,thùng,Co.op,yogurt,2400.0,82916.66666666667,24.0,8291.666666666666,,
3478,Sữa chua ăn Vinamilk nha đam ít đường collagen 4x100g,33800,lốc,Co.op,yogurt,400.0,84500.0,4.0,8450.0,,
3479,Sữa chua Vinamilk nếp cẩm thùng 24x100g,198000,thùng,Co.op,yogurt,2400.0,82500.0,24.0,8250.0,,
3480,Sữa chua Vinamilk Green Farm ít đường 24x100g,164000,thùng,Co.op,yogurt,2400.0,68333.33333333333,24.0,6833.333333333333,,
3481,Sữa chua Vinamilk Green Farm có đường 24x100g,164000,thùng,Co.op,yogurt,2400.0,68333.33333333333,24.0,6833.333333333333,,
3482,Sữa chua hoa quả Hoff chuối 4 x 55g,45700,lốc,Co.op,yogurt,220.0,207727.2727272727,4.0,11425.0,,
3483,Sữa chua hoa quả Hoff dâu 4 x 55g,45700,lốc,Co.op,yogurt,220.0,207727.2727272727,4.0,11425.0,,
3485,Sữa chua ăn TH Topkid chuối lúa mạch 4 x 60g,24500,lốc,Co.op,yogurt,240.0,102083.33333333333,4.0,6125.0,,
3486,Sữa chua ăn TH Topkid vani 4 x 60g,24500,lốc,Co.op,yogurt,240.0,102083.33333333333,4.0,6125.0,,
3487,Sữa chua TH Yogurt ít đường 4x100g,29200,lốc,Co.op,yogurt,400.0,73000.0,4.0,7300.0,,
3488,Sữa chua Vinamilk trái cây thùng 48x100g,375000,thùng,Co.op,yogurt,4800.0,78125.0,48.0,7812.5,,
3489,Sữa chua Vinamilk dâu thùng 48x100g,375000,thùng,Co.op,yogurt,4800.0,78125.0,48.0,7812.5,,
3490,Sữa chua Vinamilk có đường thùng 48x100g,310000,thùng,Co.op,yogurt,4800.0,64583.33333333333,48.0,6458.333333333333,,
3491,Sữa chua Vinamilk Green Farm có đường 4x100g,28000,lốc,Co.op,yogurt,400.0,70000.0,4.0,7000.0,,
3492,Sữa chua Vinamilk Love Yogurt nếp cẩm thùng 48x100g,385000,thùng,Co.op,yogurt,4800.0,80208.33333333333,48.0,8020.833333333333,,
3493,Sữa chua Nutimilk có đường 48x100g,296000,thùng,Co.op,yogurt,4800.0,61666.666666666664,48.0,6166.666666666667,,
3494,Sữa chua Nutimilk nha đam 48x100g,355000,thùng,Co.op,yogurt,4800.0,73958.33333333333,48.0,7395.833333333333,,
3495,Sữa chua Đà Lạt Milk tự nhiên 500g,47400,hộp,Co.op,yogurt,500.0,94800.0,,,,
3496,Sữa chua Đà Lạt Milk có đường 500g,47400,hộp,Co.op,yogurt,500.0,94800.0,,,,
3497,Sữa chua ăn TH True nha Đam 48x100g,396000,thùng,Co.op,yogurt,4800.0,82500.0,48.0,8250.0,,
3498,Sữa chua ăn TH Sầu Riêng 4x100g,33000,lốc,Co.op,yogurt,400.0,82500.0,4.0,8250.0,,
3499,Sữa chua ăn TH Sầu Riêng 48x100g,396000,thùng,Co.op,yogurt,4800.0,82500.0,48.0,8250.0,,
3501,Sữa chua Vinamilk Green Farm ít đường lốc 4x100g,28000,lốc,Co.op,yogurt,400.0,70000.0,4.0,7000.0,,
3502,Sữa chua phô mai Sài Gòn Milk 100g,12500,hộp,Co.op,yogurt,100.0,125000.0,,,,
3505,Sữa chua ăn TH Truemilk có đường 4 x 100g,29200,lốc,Co.op,yogurt,400.0,73000.0,4.0,7300.0,,
3506,Sữa chua Vinamilk trân châu đường đen lốc 4 hủ x 100g,36500,lốc,Co.op,yogurt,400.0,91250.0,,,,
3507,Sữa chua ăn TH true milk trái cây lốc 4 hủ x100g,33000,lốc,Co.op,yogurt,400.0,82500.0,,,,
3508,Sữa chua ăn TH true milk việt quất lốc 4x100g,33000,lốc,Co.op,yogurt,400.0,82500.0,4.0,8250.0,,
3509,Sữa chua ăn TH True milk vị tự nhiên lốc 4 hủ x100g,29200,lốc,Co.op,yogurt,400.0,73000.0,,,,
3513,Sữa chua ăn TH True nha đam 4x100g,33000,lốc,Co.op,yogurt,400.0,82500.0,4.0,8250.0,,
3514,Sữa chua ăn Nutimilk nha đam lốc 4 x 100g,29800,lốc,Co.op,yogurt,400.0,74500.0,4.0,7450.0,,
3515,Sữa chua Nutimilk có đường lốc 4 x 100g,24800,lốc,Co.op,yogurt,400.0,62000.0,4.0,6200.0,,
3516,Sữa chua Susu IQ táo chuối lốc 4x80g,29000,lốc,Co.op,yogurt,320.0,90625.0,4.0,7250.0,,
3517,Sữa chua ăn Vinamilk Susu IQ dâu chuối lốc 4x80g,29000,lốc,Co.op,yogurt,320.0,90625.0,4.0,7250.0,,
3518,Sữa chua ăn Vinamilk Susu IQ có đường lốc 4x80g,29000,lốc,Co.op,yogurt,320.0,90625.0,4.0,7250.0,,
3519,Sữa chua ăn Vinamilk nếp cẩm lốc 4x100g,33500,lốc,Co.op,yogurt,400.0,83750.0,4.0,8375.0,,
3737,Sữa đặc Ông Thọ đỏ cao cấp hộp giấy 1kg,62700,hộp,Co.op,condensed_milk,1000.0,62700.0,,,,
3746,Sữa đặc Ông Thọ hộp giấy đỏ 24 x 380g,607000,thùng,Co.op,condensed_milk,9120.0,66557.01754385965,24.0,25291.666666666668,,
3747,Sữa đặc Ông Thọ chữ xanh hộp giấy thùng 24x380g,636000,thùng,Co.op,condensed_milk,9120.0,69736.84210526316,24.0,26500.0,,
3748,Sữa đặc Ông Thọ chữ xanh thùng 48x380g,1273000,thùng,Co.op,condensed_milk,18240.0,69791.66666666667,48.0,26520.833333333332,,
3750,Sữa đặc ông thọ Vinamilk có đường 6 hộp x 40g,27900,hộp,Co.op,condensed_milk,240.0,116250.0,,,,
3759,Sữa đặc Ông Thọ đỏ hộp 380g,25500,hộp,Co.op,condensed_milk,380.0,67105.26315789473,,,,
3760,Sữa đặc có đường Hoàn Hảo lon 380g,20200,lon,Co.op,condensed_milk,380.0,53157.8947368421,,,,
3761,Sữa đặc có đường Ông Thọ đỏ tuýp 165g,19600,cái,Co.op,condensed_milk,165.0,118787.87878787878,,,,
3762,Sữa đặc Ông Thọ chữ xanh hộp thiếc 380g,26700,lon,Co.op,condensed_milk,380.0,70263.15789473684,,,,
3763,Sữa đặc Vinamilk Tài Lộc có đường hộp thiếc 380g,16600,lon,Co.op,condensed_milk,380.0,43684.21052631579,,,,
3764,Sữa đặc Ông Thọ chữ xanh hộp giấy 380g,26700,hộp,Co.op,condensed_milk,380.0,70263.15789473684,,,,
3765,"Sữa đặc Ngôi sao Phương Nam xanh biển hộp 1,284kg",57000,hộp,Co.op,condensed_milk,1284.0,44392.52336448598,,,,
3766,Sữa đặc có đường Dairy Champ lon 500g,28000,lon,Co.op,condensed_milk,500.0,56000.0,,,,
3767,Sữa đặc có đường Ông Thọ đỏ hộp giấy 1284g,79800,hộp,Co.op,condensed_milk,1284.0,62149.53271028038,,,,
3770,Sữa đặc Ông Thọ trắng nhãn vàng lon 380g có nắp khui,32500,lon,Co.op,condensed_milk,380.0,85526.31578947368,,,,
3771,Sữa đặc có đường Ông Thọ nhãn đỏ 380g,25500,lon,Co.op,condensed_milk,380.0,67105.26315789473,,,,
3772,Sữa đặc Dutch Lady xanh biển lon 380g,26300,lon,Co.op,condensed_milk,380.0,69210.52631578948,,,,
4156,Trà hoa sen Phúc Long 150g,76500,hộp,Co.op,green_tea,150.0,510000.0,,,,
4157,Trà túi lọc Thái Nguyên hương sen Việt Anh 25 túi x 2g,25600,hộp,Co.op,green_tea,50.0,512000.0,25.0,1024.0,,
4184,Cafe rang xay King Inspire Blend 3 gói 500g,196000,gói,Co.op,ground_coffee,500.0,392000.0,3.0,65333.333333333336,,
4186,Cà phê Phố rang xay gói 450g,110500,gói,Co.op,ground_coffee,450.0,245555.55555555553,,,,
4206,Cà phê rang xay Expert Blend King 2 gói 500g,120000,gói,Co.op,ground_coffee,500.0,240000.0,2.0,60000.0,,
4207,Cà phê rang xay K-Morning gói 227g,74500,gói,Co.op,ground_coffee,227.0,328193.83259911893,,,,
4208,Cà phê Arabica Mê Trang gói 500g,80000,gói,Co.op,ground_coffee,500.0,160000.0,,,,
4212,Cà phê sáng tạo 8 Trung Nguyên 500g,606000,hộp,Co.op,ground_coffee,500.0,1212000.0,,,,
4225,Cà phê xay HIGHLANDS moka gói 200g,116500,bịch,Co.op,ground_coffee,200.0,582500.0,,,,
4239,Cà phê OB Mê Trang 500g,93000,gói,Co.op,ground_coffee,500.0,186000.0,,,,
4241,Cà phê chế phin số 5 Trung Nguyên 500g,279400,gói,Co.op,ground_coffee,500.0,558800.0,,,,
4242,Cà phê rang xay King Coffee Golden hộp 450g,392000,hộp,Co.op,ground_coffee,450.0,871111.1111111111,,,,
4245,Cà phê Highlands truyền thống gói 200g,83000,gói,Co.op,ground_coffee,200.0,415000.0,,,,
4251,Cà phê I Trung Nguyên khát vọng gói 500g,101000,gói,Co.op,ground_coffee,500.0,202000.0,,,,
4254,Cà phê rang xay K-BLACK gói 454g,214000,gói,Co.op,ground_coffee,454.0,471365.63876651984,,,,
4255,Cà phê Highlands culi 200g,107000,gói,Co.op,ground_coffee,200.0,535000.0,,,,
4256,Cà phê rang xay In.Blend King gói 500g,141500,gói,Co.op,ground_coffee,500.0,283000.0,,,,
4257,Cà Phê Trung Nguyên Sáng Tạo 1 Gói 340g,89700,gói,Co.op,ground_coffee,340.0,263823.5294117647,1.0,89700.0,,
4263,Cà Phê Trung Nguyên Gourmet Blend Hộp 500g,166300,hộp,Co.op,ground_coffee,500.0,332600.0,,,,
4267,Cà Phê Trung Nguyên Nâu gói 500g,128800,gói,Co.op,ground_coffee,500.0,257600.00000000003,,,,
4268,Cà Phê Sạch Mê Trang MC Số 1 Gói 500g,113500,gói,Co.op,ground_coffee,500.0,227000.0,1.0,113500.0,,
4271,Cà Phê Phin số 1 Trung Nguyên gói 500g,148400,gói,Co.op,ground_coffee,500.0,296800.0,,,,
4272,Cà Phê Trung Nguyên Sáng Tạo 2 Arabica Rob gói 340g,103800,gói,Co.op,ground_coffee,340.0,305294.11764705885,,,,
4273,Cà Phê Trung Nguyên Sáng Tạo 3 Gói 340g,124900,gói,Co.op,ground_coffee,340.0,367352.9411764706,3.0,41633.333333333336,,
4274,Cà phê xay Trung Nguyên chữ S gói 500g,84300,gói,Co.op,ground_coffee,500.0,168600.0,,,,
4275,Cà Phê Trung Nguyên Sáng Tạo 4 Gói 340g,142800,gói,Co.op,ground_coffee,340.0,420000.0,4.0,35700.0,,
4276,Cà Phê Trung Nguyên Sáng Tạo 5 Gói 340g,175000,gói,Co.op,ground_coffee,340.0,514705.8823529412,5.0,35000.0,,
4463,Nước tinh khiết Satori thùng 12×1.5L,119800,thùng,Co.op,water,,,,,18000.0,6655.555555555556
4464,Nước khoáng Lavie dịu nhẹ 24 x 500ml,106500,thùng,Co.op,water,,,24.0,4437.5,12000.0,8875.0
