country,product_category,bin_min,bin_max,bin_count
Russia,cucumber,1.94574544,4.117092245333334,2
Russia,cucumber,4.117092245333334,6.288439050666666,10
Russia,cucumber,6.288439050666666,8.459785856,4
Russia,cucumber,8.459785856,10.631132661333332,0
Russia,cucumber,10.631132661333332,13.802479466666666,2
Vietnam,cucumber,0.9097648,1.0626994,2
Vietnam,cucumber,1.0626994,1.215634,2
Vietnam,cucumber,1.215634,2.3685686,3
Russia,ground_coffee,11.0548944,15.317166017268722,8
Russia,ground_coffee,15.317166017268722,19.57943763453744,9
Russia,ground_coffee,19.57943763453744,23.841709251806165,17
Russia,ground_coffee,23.841709251806165,28.10398086907489,22
Russia,ground_coffee,28.10398086907489,32.366252486343605,15
Russia,ground_coffee,32.366252486343605,36.62852410361233,7
Russia,ground_coffee,36.62852410361233,40.89079572088105,1
Russia,ground_coffee,40.89079572088105,45.153067338149775,0
Russia,ground_coffee,45.153067338149775,49.41533895541849,8
Russia,ground_coffee,49.41533895541849,54.677610572687215,10
Vietnam,ground_coffee,6.27424,12.526072,17
Vietnam,ground_coffee,12.526072,18.777904,10
Vietnam,ground_coffee,18.777904,25.029736,7
Vietnam,ground_coffee,25.029736,31.281568,1
Vietnam,ground_coffee,31.281568,37.5334,1
Vietnam,ground_coffee,37.5334,43.785232,0
Vietnam,ground_coffee,43.785232,51.037064,2
Russia,carrot,0.40730304,1.5686252799999998,5
Russia,carrot,1.5686252799999998,2.7299475199999996,1
Russia,carrot,2.7299475199999996,4.89126976,1
Vietnam,carrot,0.5842886,1.6247667333333333,3
Vietnam,carrot,1.6247667333333333,2.665244866666667,0
Vietnam,carrot,2.665244866666667,4.705723,2
Russia,chicken_fillet,4.97508944,5.356993832727272,1
Russia,chicken_fillet,5.356993832727272,5.7388982254545455,2
Russia,chicken_fillet,5.7388982254545455,7.120802618181818,4
Vietnam,chicken_fillet,2.431268,2.97928365,1
Vietnam,chicken_fillet,2.97928365,3.5272993,0
Vietnam,chicken_fillet,3.5272993,4.07531495,7
Vietnam,chicken_fillet,4.07531495,5.6233306,2
Russia,banana,1.862067314285714,1.9202231904761904,3
Russia,banana,1.9202231904761904,2.9783790666666663,1
Vietnam,banana,0.6235026,0.9372146000000001,4
Vietnam,banana,0.9372146000000001,1.2509266,1
Vietnam,banana,1.2509266,2.5646386000000003,4
Russia,cabbage,0.44212944000000004,0.8031016977777778,2
Russia,cabbage,0.8031016977777778,2.1640739555555557,1
Vietnam,cabbage,0.5058606,0.5646816,1
Vietnam,cabbage,0.5646816,1.6235026000000001,2
Russia,pork_leg,3.31668944,4.21885904,1
Russia,pork_leg,4.21885904,6.12102864,3
Vietnam,pork_leg,5.228533333333334,5.7993148888888895,3
Vietnam,pork_leg,5.7993148888888895,6.370096444444445,1
Vietnam,pork_leg,6.370096444444445,7.9408780000000005,4
Russia,salt,0.15467344,0.9771145386666666,6
Russia,salt,0.9771145386666666,1.7995556373333332,6
Russia,salt,1.7995556373333332,2.6219967359999994,4
Russia,salt,2.6219967359999994,3.444437834666666,0
Russia,salt,3.444437834666666,5.266878933333333,1
Vietnam,salt,0.22351980000000002,0.30604348444444446,8
Vietnam,salt,0.30604348444444446,0.38856716888888887,4
Vietnam,salt,0.38856716888888887,0.4710908533333332,2
Vietnam,salt,0.4710908533333332,0.5536145377777777,4
Vietnam,salt,0.5536145377777777,1.6361382222222223,1
Russia,water,0.12800636799999998,0.4760514592,42
Russia,water,0.4760514592,0.8240965504000001,21
Russia,water,0.8240965504000001,1.1721416416000001,9
Russia,water,1.1721416416000001,1.5201867328,10
Russia,water,1.5201867328,1.8682318240000004,6
Russia,water,1.8682318240000004,2.2162769152,6
Russia,water,2.2162769152,2.5643220064,0
Russia,water,2.5643220064,2.9123670976000002,0
Russia,water,2.9123670976000002,3.2604121888,1
Russia,water,3.2604121888,4.60845728,1
Vietnam,water,0.176463,0.25815883333333334,12
Vietnam,water,0.25815883333333334,0.3398546666666667,12
Vietnam,water,0.3398546666666667,0.42155050000000005,24
Vietnam,water,0.42155050000000005,0.5032463333333334,7
Vietnam,water,0.5032463333333334,0.5849421666666668,10
Vietnam,water,0.5849421666666668,0.6666380000000001,0
Vietnam,water,0.6666380000000001,0.7483338333333334,0
Vietnam,water,0.7483338333333334,0.8300296666666668,0
Vietnam,water,0.8300296666666668,1.9117255000000002,1
Russia,mango,5.69372944,6.0475185305263155,1
Russia,mango,6.0475185305263155,7.401307621052631,1
Vietnam,mango,0.568603,1.25406372,5
Vietnam,mango,1.25406372,1.93952444,4
Vietnam,mango,1.93952444,2.62498516,5
Vietnam,mango,2.62498516,3.31044588,1
Vietnam,mango,3.31044588,4.9959066,3
Russia,milk,0.7762540444444445,0.9172571313131314,3
Russia,milk,0.9172571313131314,1.0582602181818181,7
Russia,milk,1.0582602181818181,1.199263305050505,17
Russia,milk,1.199263305050505,1.340266391919192,24
Russia,milk,1.340266391919192,1.4812694787878788,24
Russia,milk,1.4812694787878788,1.6222725656565657,13
Russia,milk,1.6222725656565657,1.7632756525252526,9
Russia,milk,1.7632756525252526,1.9042787393939395,6
Russia,milk,1.9042787393939395,2.0452818262626264,6
Russia,milk,2.0452818262626264,2.1862849131313133,4
Russia,milk,2.1862849131313133,3.3272880000000002,2
Vietnam,milk,1.221724053030303,1.455745481060606,14
Vietnam,milk,1.455745481060606,1.6897669090909089,20
Vietnam,milk,1.6897669090909089,1.9237883371212119,20
Vietnam,milk,1.9237883371212119,2.157809765151515,15
Vietnam,milk,2.157809765151515,2.391831193181818,8
Vietnam,milk,2.391831193181818,2.625852621212121,1
Vietnam,milk,2.625852621212121,2.8598740492424235,7
Vietnam,milk,2.8598740492424235,3.0938954772727265,2
Vietnam,milk,3.0938954772727265,3.327916905303029,3
Vietnam,milk,3.327916905303029,4.561938333333332,2
Russia,water_spinach,,,0
Vietnam,water_spinach,0.98035,1.682934166666667,4
Vietnam,water_spinach,1.682934166666667,2.3855183333333336,2
Vietnam,water_spinach,2.3855183333333336,3.0881025000000006,2
Vietnam,water_spinach,3.0881025000000006,4.790686666666668,3
Russia,sugar,0.66324944,1.449353152,10
Russia,sugar,1.449353152,2.2354568639999997,8
Russia,sugar,2.2354568639999997,3.021560576,1
Russia,sugar,3.021560576,3.807664288,1
Russia,sugar,3.807664288,5.593768,1
Vietnam,sugar,1.019564,1.09485488,2
Vietnam,sugar,1.09485488,1.17014576,3
Vietnam,sugar,1.17014576,1.2454366399999999,5
Vietnam,sugar,1.2454366399999999,1.32072752,3
Vietnam,sugar,1.32072752,2.3960184,6
Russia,rice_noodles,7.049782907488988,7.803274471659325,2
Russia,rice_noodles,7.803274471659325,8.55676603582966,1
Russia,rice_noodles,8.55676603582966,10.310257599999998,2
