name,level,hasChild,parent,link,term_id,item_codes
"Nho, kiwi",3,False,Trái cây,https://cooponline.vn/groups/nho-kiwi/,3991,"93282,93280,71597,70943,68845,45223,45225,30862,35614,33922,33918,33914,32496,32469,32467,32457,32446,32438,31022,30989,30790,30759,29866,29085,28949,27808,27772,27723,27582,14653,12528,9820,7066,7037,1223,639,507,504"
"Táo, lê",3,False,Trái cây,https://cooponline.vn/groups/tao-le/,3992,"99825,94793,94784,94782,94779,94775,93291,81559,80871,72607,71603,71587,70589,70585,70567,69389,68938,68924,68922,68896,68894,68880,62492,62474,62472,58831,58732,58726,56659,44813,44810,37536,34254,34023,33924,33916,33048,32479,32477,32475,32459,32448,32276,32274,31815,31809,30997,30994,30858,30741,30583,30571,29864,29518,29188,29081,29068,28710,27951,27949,27784,27778,27736,27721,27716,27688,27649,27577,27551,27549,27547,27545,22524,22516,22514,22511,17745,16855,15129,14759,12501,7717,499,2717,2667,1226,636"
Trái cây khác,3,False,Trái cây,https://cooponline.vn/groups/trai-cay-khac/,3993,"105409,105408,104770,104763,104653,104546,104543,99977,99831,99702,99698,96399,93286,93284,93257,93249,93247,93245,91499,91497,87969,87967,81583,81581,81579,81577,81575,81571,81569,81563,80868,80866,80849,80840,80837,80834,80770,80479,79106,79102,79099,71997,71994,71987,71583,71581,71573,71569,71567,68936,68934,68928,68926,68914,68904,68900,68898,68892,68888,68886,68884,68882,68878,68859,68857,68856,68854,68852,68850,68848,68843,68841,68723,65971,41076,59680,59678,56158,51803,51793,46429,46114,45210,39664,39034,38763,38723,38721,38719,38717,37251,37232,37229,37227,35610,34260,34258,34256,34025,33995,33920,33128,32492,32465,32440,32436,32280,31437,31407,31011,30991,30852,30761,30756,30747,30724,30720,30716,30714,30712,30585,30569,29862,29859,29857,29522,29512,29190,29186,29184,29121,29119,29094,29092,29090,29088,29079,29077,29075,29073,29045,28945,28916,28909,28577,27946,27829,27813,27786,27765,27718,27636,27580,27541,27527,1204,25243,2590,21884,1217,17007,16983,2027,16878,16877,15777,14757,14753,14081,13300,13141,13140,13138,976,9470,7148,6474,6321,6319,2820,2615,2612,2587,2058,1446,1198,496,492"
"Thịt, trứng, hải sản",1,True,,https://cooponline.vn/groups/thit-trung-hai-san/,,
Thịt,2,True,"Thịt, trứng, hải sản",https://cooponline.vn/groups/thit/,,
Bò và thịt các loại,3,False,Thịt,https://cooponline.vn/groups/bo-va-thit-cac-loai/,3994,"99833,93288,81495,81493,81491,81489,81485,81483,81481,80724,71589,71242,71237,66226,66183,66181,66179,66177,66175,66172,60908,60906,60904,60902,46435,46189,43392,42346,40774,40772,40770,34235,34050,31810,31375,30563,29833,29831,29829,29827,29532,29530,28976,28738,28730,28719,28509,27812,27807,27800,27792,27782,27771,27767,27763,27747,27572,26625,26623,26248,26245,26230,16262,10626,6626,6622"
"Gà, vịt",3,False,Thịt,https://cooponline.vn/groups/ga/,3995,"88618,88616,88614,88612,88610,88608,87864,84213,81499,81497,80722,80262,71613,71611,71532,71387,66210,66208,66206,66202,66200,66198,66196,62496,58759,56586,56469,56056,56054,56052,56050,56048,56046,56044,56042,56040,56038,56036,56034,56032,56030,55367,55369,55365,55173,55171,49913,46622,46433,46427,46211,46195,46173,46122,46112,46110,46101,46099,46092,45989,45986,45984,45982,45209,45207,45203,45176,45175,45171,45167,45165,45163,45161,45146,45143,44714,44697,31402,31401,31393,35992,35990,35570,34038,32566,32453,32451,32433,31398,31390,31388,30850,30784,30758,29419,29417,29415,29411,29409,29407,29405,29356,29353,29234,29232,29230,29228,29226,29168,29164,28750,28739,28733,28732,28534,27936,27935,27933,27855,27846,27841,27834,27753,27658,27652,27617,27515,26691,26686,26684,26682,26680,26678,26675,17467,16365,15457,13200,13152,13145,13132,13128,12481,10616,10614,10611,10609,10607,10605,10603,10601,10599,10597,10595,10593,10591,10589,9745,7504,7500,7497,7492,7490,7039,7187"
Thịt heo,3,False,Thịt,https://cooponline.vn/groups/thit-heo/,3996,"65358,65353,65159,65155,65148,65146,64695,64693,64690,64686,64684,64682,64680,64678,64673,64252,64248,64246,64244,63050,63048,63046,63044,63042,63040,63037,62585,62481,62477,61421,61422,61423,61424,61419,60952,60936,60933,60930,60927,60924,60922,60920,60918,60916,60914,60912,60910,50656,46431,46206,46199,46193,46191,46182,46180,46178,46175,46126,46124,45953,45931,45216,45212,45186,45182,45178,45172,45169,44827,44796,44792,44790,44695,44688,44662,44641,44639,43408,43406,43403,43401,43398,43394,43390,43385,43383,43381,43378,42342,41961,41958,41956,41953,41951,41949,41943,41941,41935,41930,41571,40815,40813,40811,40809,38793,38364,38362,38359,38357,38355,38353,38351,38349,35698,35694,34283,34281,34279,34277,34275,34273,34271,34269,34267,34265,34263,34232,32285,31808,31806,31805,31409,31399,31396,31394,31387,31384,31383,31382,31381,31380,31379,31378,31377,31373,31372,30599,30597,30595,30591,30589,30587,29450,29346,29343,29341,29339,29337,29335,29333,29331,29329,29327,29325,29323,29321,29318,29316,29314,29311,29309,29307,29305,29303,29301,28984,28983,28981,28979,28978,28977,28974,28972,28971,28969,28967,28957,28955,28953,28727,28721,27941,27939,27937,27930,27928,27926,27925,27924,27923,27922,27914,27893,27891,27889,27887,27885,27828,27821,27819,27770,27756,27743,27709,27634,27632,27629,27623,26737,26735,26733,26731,26729,26727,26659,26657,26654,26652,26621,26618,26616,26614,26611,26306,26303,26301,26299,26297,26294,26292,26288,26285,26283,26280,26278,26275,26273,26271,26269,26243,26240,26238,26236,26234,465,458,222,218,11324,10622,10620,10618,9123,7735,7733,7086,6841,6838,6830,6828,6824,6816,6814,6802,6809,6782,6780,6778,226,461"
Thủy hải sản,2,True,"Thịt, trứng, hải sản",https://cooponline.vn/groups/thuy-hai-san/,,
Cá,3,False,Thủy hải sản,https://cooponline.vn/groups/ca/,3997,"104010,99712,99710,93267,93265,64588,64572,45975,45973,45968,45962,45229,45128,43453,43414,43412,43376,43371,43342,43339,42719,42717,42710,42707,42705,42697,42691,42686,42683,42681,42678,42675,42666,42664,42662,42660,42655,42653,42650,42648,42645,42640,42634,40469,39342,39340,38167,34044,34042,32606,32585,32583,32290,31692,31312,30783,30780,30777,30763,30566,29632,29628,29626,29624,29622,29620,29618,29614,29612,29610,29607,29605,29603,29601,29599,29597,29595,29593,29454,29403,29388,28943,28795,28793,28791,28789,28783,28742,28723,28506,28504,27916,27741,27559,27557,27555,27553,27513,26743,26697,26695,26693,2032,2018,2352,2305,2299,257,21242,16405,16403,15126,13130,8481,7727,7012,6909,6907,6905,2296,2293,2227,2015,468"
Hải sản,3,False,Thủy hải sản,https://cooponline.vn/groups/hai-san/,3998,"99985,99979,99708,93263,80709,71609,71607,71538,64592,64590,64586,64578,35680,35665,46865,46863,46201,45205,43349,43347,43344,42712,42702,42699,42694,42689,42673,42671,42669,42642,42638,42636,41973,41968,39326,38305,38176,38173,38171,38169,33819,33190,32544,32296,32294,32282,31364,30565,30448,29630,29616,29378,29376,28787,28781,28731,28725,27725,27569,27562,26741,26739,263,15157,15158,12516,12368,11318,11316,11314,11312,9120,9117,2184"
Trứng,2,True,"Thịt, trứng, hải sản",https://cooponline.vn/groups/trung/,,
Trứng cút,3,False,Trứng,https://cooponline.vn/groups/trung-cut/,3999,"58755,46867,46215,29528,29049,27900,16367,3073"
Trứng gà,3,False,Trứng,https://cooponline.vn/groups/trung-ga/,4000,"105217,97893,97890,97886,97883,97880,97877,91168,81505,80707,80685,58519,70068,66277,66275,62494,58724,56730,56164,54948,51616,51612,50848,50844,49924,47252,47250,46240,46236,46233,46230,46227,46225,46223,46221,46219,46056,44764,42365,38758,6608,34206,34204,32705,32119,32118,32113,31816,31405,30567,29526,29448,29440,29421,29351,29053,29051,28961,28959,28745,28743,28734,27896,27883,27879,27875,16373,16111,13353,13355,13350,13317,13315,13307,13305,10542,9589,6618,6616,6614,6610,3109"
Trứng vịt,3,False,Trứng,https://cooponline.vn/groups/trung-vit/,4001,"81508,81503,81501,61962,58737,51764,51762,46244,46242,44761,44731,42376,34202,34199,34197,34195,32117,32115,31391,29425,29423,29348,29047,28965,27898,27881,27517,16102,13377,13375,13371,13367,13366,6620,6612,6348,3070,709"
"Thức ăn chế biến, bún tươi",1,True,,https://cooponline.vn/groups/thuc-an-che-bien-bun-tuoi/,,
"Bún tươi, bánh canh",2,False,"Thức ăn chế biến, bún tươi",https://cooponline.vn/groups/bun-tuoi-banh-canh/,3934,"84929,84521,81392,81390,78150,17624,56742,52059,48950,35560,31429,31427,31425,31423,31421,31418,27511,3304,17626,17622,17616,9892,6397"
Thức ăn chế biến,2,True,"Thức ăn chế biến, bún tươi",https://cooponline.vn/groups/thuc-an-che-bien/,,
Thức ăn nấu chín,3,False,Thức ăn chế biến,https://cooponline.vn/groups/thuc-an-nau-chin/,4002,"105264,105262,105260,105250,104026,104025,104021,104022,104019,104015,104016,104008,104005,104003,104001,103998,103994,99957,99919,99915,99912,99909,93495,91174,87862,84221,84219,84217,84215,83172,83170,83167,83165,83145,103985,81840,81471,81469,81467,81452,81445,81438,81395,80681,80530,72885,71530,68342,68337,57286,57283,49921,49509,49502,49389,49386,49384,49382,49380,49378,49375,49371,43893,43891,43889,43885,40475,38298,35689,35687,35685,35663,35660,35657,35655,35558,35556,35553,35544,35542,34192,34160,33810,33808,33806,33796,33516,32511,32463,32212,32210,32206,32204,30864,30860,30805,30792,30749,29591,29589,29587,29585,29583,29581,29579,29577,29575,29573,29386,29384,29382,29358,27920,27759,27755,27748,27734,27711,27704,24467,24465,24413,24273,24155,24152,24081,24079,24036,24034,23957,23941,23939,23859,23857,23855,23847,23843,23841,23838,23821,23815,23813,23442,23421,23266,23262,23058,20944,20942,16371,16369,16361,12484,11320,9126,7739,6346,2311"
