id,name,parent_id,parent_name,slug,level
3190,Томатные пасты,285.0,"Соусы, кетчупы, майонез",tomatnye-pasty,3
3223,Продукты мексиканской кухни,3220.0,Национальная кухня,produkty-meksikanskojj-kuhni,3
3243,Карамель,2633.0,Конфеты,karamel,3
3253,Мучные изделия,221.0,Без глютена,muchnye-izdeliya,3
3257,Суперфуды,3256.0,Диетическое питание,superfudy,3
3258,Прочие напитки,627.0,"Какао, цикорий, напитки",prochie-napitki,3
3526,Средства для укладки,3510.0,Для волос,sredstva-dlya-ukladki,3
3533,Интимная гигиена,3515.0,Женская гигиена и урология,intimnaya-gigiena,3
3537,Лосьоны и тоники,3511.0,Для лица,losony-i-toniki,3
3541,Мыло жидкое,3512.0,Для тела,mylo-zhidkoe,3
3561,Зубные нити и зубочистки,3513.0,Уход за полостью рта,zubnye-niti-i-zubochistki,3
3566,Для депиляции,3514.0,Бритье и депиляция,dlya-depilyacii,3
3575,Косметические аксессуары,3519.0,Аксессуары,kosmeticheskie-aksessuary,3
3582,Смазки и тесты,3521.0,Аптека,smazki-i-testy,3
3965,"Круассаны, брускетты",786.0,"Пицца, шаурма, бургеры",kruassany-brusketty,3
11100,Влажная бумага,11096.0,Туалетная бумага и полотенца,vlazhnaya-bumaga,3
11211,Крупный инвентарь,1754.0,Садовый инвентарь,krupnyjj-inventar,3
11221,Шампуры,2758.0,Для шашлыка и барбекю,shampury,3
11300,Аксессуары,3019.0,Велоспорт,aksessuary,3
11329,Коньки,3027.0,Зимние виды спорта,konki,3
13650,"Печень, икра",13646.0,Рыбные консервы,pechen-ikra,3
16855,Нарезка,16854.0,"Колбасы, деликатесы",narezka,3
17040,Плодово-ягодные вина,17055.0,Десертные и крепленые вина,plodovo-yagodnye-vina,3
17053,Винные газированные напитки,17042.0,"Шампанское, игристые вина",vinnye-gazirovannye-napitki,3
17068,Водка,18355.0,"Водка, настойки",vodka,3
17226,Простыни,2706.0,Постельные принадлежности,prostyni,3
17312,Вина малого литража,17037.0,Вино,vina-malogo-litrazha,3
17405,Очки,3259.0,Аксессуары,ochki,3
17407,Ароматы для дома,1450.0,Декор интерьера,aromaty-dlya-doma,3
17425,"Мусорные мешки, контейнеры",17414.0,Инвентарь для уборки,musornye-meshki-kontejjnery,3
17432,Кухонные полотенца,17429.0,Домашний текстиль,kuhonnye-polotenca,3
17453,"Друшлаги, сита",2825.0,"Кухонные инструменты, аксессуары",drushlagi-sita,3
17465,Средства для мытья посуды,17461.0,"Салфетки, губки, средства для мытья посуды",sredstva-dlya-mytya-posudy,3
17476,"Скатерти, салфетки",2703.0,Кухонный текстиль,skaterti-salfetki,3
18015,Косметические наборы,18000.0,Конфеты и подарочные наборы,kosmeticheskie-nabory,3
18044,Карандаши,18031.0,Письменные принадлежности,karandashi,3
18056,Точилки,18033.0,Канцелярские мелочи,tochilki,3
18064,Папки для делопроизводства,18034.0,Папки и обложки,papki-dlya-deloproizvodstva,3
18067,"Папки, файлы",18035.0,Офисные принадлежности,papki-fajjly,3
18075,Мешки для обуви,18036.0,"Школьные рюкзаки, пеналы",meshki-dlya-obuvi,3
18078,Учебная и развивающая литература,18037.0,Книги и журналы,uchebnaya-i-razvivayushchaya-literatura,3
18085,Краски,18038.0,Творчество и рукоделие,kraski,3
18103,Вкусовое пиво,17059.0,"Пиво, сидр, медовуха",vkusovoe-pivo,3
18105,Бренди,18356.0,"Коньяк, бренди",brandi,3
18209,Принадлежности для шиномонтажа,18200.0,Автомобильные шины,prinadlezhnosti-dlya-shinomontazha,3
18212,Свечи зажигания,18201.0,Автозапчасти,svechi-zazhiganiya,3
18219,Смазки,18202.0,"Эксплуатационные жидкости, смазки",smazki,3
18224,"Салфетки, щетки, скребки",18203.0,"Автохимия, уход за авто",salfetki-shchetki-skrebki,3
18230,Держатели автомобильные,18204.0,Автомобильные аксессуары,derzhateli-avtomobilnye,3
18244,Яблоки,153.0,Фрукты,yabloki,3
18274,Малина,159.0,Ягоды,malina,3
18314,"Козий, овечий сыр",2991.0,Рассольный,kozijj-ovechijj-syr,3
18580,Средства для мытья полов,1730.0,"Чистящие, моющие средства",sredstva-dlya-mytya-polov,3
18814,От грызунов,17401.0,Средства от насекомых и грызунов,ot-gryzunov,3
18818,"Ложки, стельки, шнурки",176.0,"Уход за обувью, одеждой",lozhki-stelki-shnurki,3
18835,Блоки для унитаза,1085.0,"Освежители, ароматизаторы",bloki-dlya-unitaza,3
19032,ЛЕНТА ECO,19028.0,Бакалея,lenta-eco,3
19084,BONVIDA,19081.0,Замороженные продукты,bonvida,3
