category_id,name,price,pricing_unit,supermarket
31,"Макароны PASTA ZARA Спагетти, 500г",121.05,500г,Lenta
31,"Макароны PASTA ZARA Рожки №27, 500г",121.05,500г,Lenta
31,"Макароны ШЕБЕКИНСКИЕ Вермишель легкая группа А, высший сорт, 450г",73.69,450г,Lenta
31,"Макароны ШЕБЕКИНСКИЕ Спирали группа А, высший сорт, 450г",75.49,450г,Lenta
31,"Лапша яичная РОЛЛТОН Классическая группа В высший сорт, 400г",78.94,400г,Lenta
31,"Макароны MAKFA Улитки высший сорт, 450г",73.49,450г,Lenta
31,"Макароны MAKFA Ракушки, 450г",74.99,450г,Lenta
31,"Макароны MAKFA Перья любительские высший сорт, 450г",73.49,450г,Lenta
31,"Макароны MAKFA Вермишель тонкая высший сорт, 450г",73.49,450г,Lenta
31,"Макароны MAKFA Петушиные гребешки высший сорт, 450г",74.99,450г,Lenta
31,"Макароны MAKFA Витки высший сорт, 450г",73.49,450г,Lenta
31,"Макароны BARILLA Cannelloni из твердых сортов пшеницы группа А высший сорт, 250г",318.49,250г,Lenta
31,"Макароны MAKFA Спирали высший сорт, 450г",73.49,450г,Lenta
31,"Макароны MAKFA Рожки, 450г",74.99,450г,Lenta
31,"Макароны ШЕБЕКИНСКИЕ Улитка Сабо №395, группа А, 450г",73.69,450г,Lenta
31,"Макароны ШЕБЕКИНСКИЕ Ракушки №393 группа А, 450г",79.99,450г,Lenta
31,"Макароны BARILLA Лазанья из твердых сортов пшеницы группа А высший сорт, 500г",339.99,500г,Lenta
31,"Макароны MAKFA Макфики группа А высший сорт, 250г",68.49,250г,Lenta
31,"Макароны MAKFA Рожки гладкие высший сорт, 450г",74.99,450г,Lenta
31,"Макароны MAKFA Гнезда Тальятелле лапша длинная высший сорт, 450г",136.89,450г,Lenta
31,"Макароны PASTA ZARA Tagliati №80, 500г",121.05,500г,Lenta
31,"Макароны DE CECCO Спагетти №12, 500г",382.49,500г,Lenta
31,"Макароны LA MOLISANA Farfalle №66 Бантики, группа А, 500г",210.52,500г,Lenta
31,"Макароны LA MOLISANA Spaghettoni №14В Спагеттони, группа В, 500г",263.15,500г,Lenta
31,"Макароны 3 GLOCKEN Die mag ich feine Eiernudeln короткая прямая лапша, 500г",368.49,500г,Lenta
31,"Макароны 3 GLOCKEN Gold-Ei Landnudeln гнезда, 500г",284.29,500г,Lenta
31,"Макароны 3 GLOCKEN Genuss Pur клецки, 500г",305.29,500г,Lenta
31,"Макароны 3 GLOCKEN Genuss Pur мелкая лапша, 500г",291.59,500г,Lenta
31,"Макароны ШЕБЕКИНСКИЕ Витой рожок №388 группа А, 450г",73.49,450г,Lenta
