country,count,outliers,outliers_percent,average,std,p10,q1,median,q3,iqr,min,max
Russia,18,0,0.0,5.776689891806958,2.599227001934415,3.666368608,4.4462256799999995,4.9915076,6.446630755555556,2.0004050755555562,1.94574544,12.802479466666666
Vietnam,8,1,12.5,1.151211,0.1785975235707372,0.92623468,1.0352496,1.137206,1.2862192000000001,0.2509696000000001,0.9097648,1.3685686000000001
