category_name,name,price,uom,supermarket
"Rau xào, nấu canh",Cải ngọt Coop 500g,15000,gói,Co.op
"Rau xào, nấu canh",Cải bẹ xanh Coop 500g,19000,gói,Co.op
"Rau xào, nấu canh",Cần tây Coop Select kg – VietFarm,41900,kg,Co.op
"Rau xào, nấu canh",Rau muống nước,25000,kg,Co.op
"Rau xào, nấu canh",Bông hẹ giống Đài Loan,62900,kg,Co.op
"Rau xào, nấu canh",Đậu giống Hà Lan,170000,kg,Co.op
"Rau xào, nấu canh",Cải dúng,33500,kg,Co.op
"Rau xào, nấu canh",Giá sống,10500,kg,Co.op
"Rau xào, nấu canh",Cần tàu – kg,55000,kg,Co.op
"Rau xào, nấu canh",Rau đay,34000,kg,Co.op
"Rau xào, nấu canh",Bắp cải thảo giống Đài Loan,27500,kg,Co.op
"Rau xào, nấu canh",Hành Baro kg,37900,kg,Co.op
"Rau xào, nấu canh",Hẹ lá kg,48000,kg,Co.op
"Rau xào, nấu canh",Đậu bắp kg,38200,kg,Co.op
"Rau xào, nấu canh",Ngọn su su,29500,kg,Co.op
"Rau xào, nấu canh",Xà lách lolo xanh kg,17500,kg,Co.op
"Rau xào, nấu canh",Bông cải trắng,65500,kg,Co.op
"Rau xào, nấu canh",Đậu cove thường,42500,kg,Co.op
"Rau xào, nấu canh",Bông cải xanh,47000,kg,Co.op
"Rau xào, nấu canh",Cải xậy,26500,kg,Co.op
"Rau xào, nấu canh",Rau muống hữu cơ Viet RAP 300g – CX,19000,gói,Co.op
"Rau xào, nấu canh",Cải Caron,29000,kg,Co.op
"Rau xào, nấu canh",Bắp cải trắng – kg,12900,kg,Co.op
"Rau xào, nấu canh",Bắp cải thảo,12200,kg,Co.op
"Rau xào, nấu canh",Rau muống baby Coop Select gói 280g,13500,gói,Co.op
"Rau xào, nấu canh",Rau dền baby Coop Select 250g,11900,gói,Co.op
"Rau xào, nấu canh",Rau mồng tơi baby Coop Select gói 280g,13500,gói,Co.op
"Rau xào, nấu canh",Cần tây,29900,kg,Co.op
"Rau xào, nấu canh",Đậu đũa,37000,kg,Co.op
"Rau xào, nấu canh",Cải thảo Đà Lạt Coop Select – kg,22900,kg,Co.op
"Rau xào, nấu canh",Rau tần ô,36500,kg,Co.op
"Rau xào, nấu canh",Rau dền VG 450g – HN – CX,19000,gói,Co.op
"Rau xào, nấu canh",Cải ngồng gói 500g – HPhát,23500,gói,Co.op
"Rau xào, nấu canh",Vỉ canh chua bạc hà,50000,vỉ,Co.op
"Rau xào, nấu canh",Rau mồng tơi Coop gói 500g,15000,gói,Co.op
"Rau xào, nấu canh",Rau mồng tơi,27000,kg,Co.op
"Rau xào, nấu canh",Rau muống Coop đóng gói 500g,16500,gói,Co.op
"Rau xào, nấu canh",Bắp cải tím,43900,kg,Co.op
"Rau xào, nấu canh",Bắp Cải Trái Tim,21500,kg,Co.op
"Rau xào, nấu canh",Cải thìa VG 450g – HN – CX,19000,gói,Co.op
