,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1350,"Йогурт ДАНИССИМО Фантазия Хрустящие шарики со вкусом вишни и финика 6,9%, без змж, 105г",0.83793424,105г,yogurt,Lenta,105.0,7.980326095238095,,,,
1351,"Йогурт VENN'S Греческий 0,1%, без змж, 130г",0.81460608,130г,yogurt,Lenta,130.0,6.266200615384616,,,,
1352,"Йогурт САВУШКИН с фруктовым наполнителем персик, манго 2%, без змж, 120г",0.43107344000000003,120г,yogurt,Lenta,120.0,3.5922786666666666,,,,
1353,"Йогурт САВУШКИН Лесные ягоды 2%, без змж, 120г",0.43107344000000003,120г,yogurt,Lenta,120.0,3.5922786666666666,,,,
1354,"Молоко пастеризованное ЛЕБЕДЯНЬМОЛОКО 3,2%, без змж, 900г",1.10548944,900г,milk,Lenta,,,,,873.7864077669902,1.2651712480000001
1355,"Йогурт КОЛОМЕНСКИЙ Питайя, манго, чиа 5%, без змж, 170г",1.02478064,170г,yogurt,Lenta,170.0,6.028121411764706,,,,
1356,"Йогурт КОЛОМЕНСКИЙ Манго 5%, без змж, 170г",1.02478064,170г,yogurt,Lenta,170.0,6.028121411764706,,,,
1357,"Йогурт КОЛОМЕНСКИЙ Земляника 5%, без змж, 170г",1.02478064,170г,yogurt,Lenta,170.0,6.028121411764706,,,,
1358,"Йогурт PARMALAT Comfort Персик, куркума безлактозный 3%, без змж, 130г",0.7572254399999999,130г,yogurt,Lenta,130.0,5.824811076923076,,,,
1359,"Йогурт PARMALAT Comfort Натуральный безлактозный, 3,5% без змж, 130г",0.98940144,130г,yogurt,Lenta,130.0,7.610780307692307,,,,
1360,"Йогурт для питания детей ЭГОША с клубникой обогащенный витаминами А,D3 2,8%, 100г",0.31498544,100г,yogurt,Lenta,100.0,3.1498543999999997,,,,
1361,"Молоко пастеризованное ЭКОМИЛК 3,2%, без змж, 955г",1.22268304,955г,milk,Lenta,,,,,927.1844660194174,1.3187052682722513
1362,"Йогурт МОЛОЧНАЯ КУЛЬТУРА Greek Yogurt со сливой 1,6%, без змж, 130г",0.86115184,130г,yogurt,Lenta,130.0,6.624244923076923,,,,
1363,"Йогурт VIOLA Very Berry с вишней 2,6%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1364,"Йогурт LAPLANDIA Сливочный с наполнителем Клубника, бисквит 7,1%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1365,"Йогурт VIOLA Very Berry с клубникой 2,6%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1366,"Йогурт VIOLA Классический 3,4%, без змж, 180г",1.16408624,180г,yogurt,Lenta,180.0,6.467145777777778,,,,
1367,"Йогурт VIOLA Very Berry с персиком 2,6%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1368,"Йогурт LAPLANDIA Сливочный 8,5%, без змж, 260г",1.2219091199999998,260г,yogurt,Lenta,260.0,4.699650461538462,,,,
1369,"Йогурт VIOLA Very Berry с манго 2,6%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1370,"Йогурт LAPLANDIA Сливочный с малиной и сыром маскарпоне 7,2%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1371,"Йогурт LAPLANDIA Сливочный с наполнителем ржаной хлеб, корица 7,1%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1372,"Йогурт VIOLA Very Berry с черникой и клубникой 2,6%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1373,"Йогурт LAPLANDIA Сливочный с наполнителем черничный маффин 7,2%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1374,"Йогурт ЧУДО Клубника, земляника 2%, без змж, 290г",1.16408624,290г,yogurt,Lenta,290.0,4.014090482758621,,,,
1375,"Йогурт ЧУДО Персик, маракуя 2%, без змж, 290г",0.98918032,290г,yogurt,Lenta,290.0,3.4109666206896554,,,,
1376,"Йогурт ЧУДО Вишня, черешня 2%, без змж, 290г",0.98918032,290г,yogurt,Lenta,290.0,3.4109666206896554,,,,
1377,"Йогурт LAPLANDIA Сливочный с наполнителем лимонный пирог 7,1%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1378,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с голубикой и ежевикой с гранолой и изюмом 2,7–3,5%, без змж, 190г",1.22268304,190г,yogurt,Lenta,190.0,6.435173894736843,,,,
1379,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с лесными ягодами с гранолой и изюмом 2,7–3,5%, без змж, 190г",1.22268304,190г,yogurt,Lenta,190.0,6.435173894736843,,,,
1380,"Йогурт МОЛОЧНАЯ КУЛЬТУРА с абрикосом, миндалем с гранолой и изюмом 2,7–3,5%, без змж, 190г",1.22268304,190г,yogurt,Lenta,190.0,6.435173894736843,,,,
1381,"Молоко пастеризованное ЛЕНТА 3,2%, без змж, 900мл",1.2337390400000001,900мл,milk,Lenta,,,,,900.0,1.3708211555555556
1382,"Молоко пастеризованное ЛЕНТА 2,5%, без змж, 900мл",1.10548944,900мл,milk,Lenta,,,,,900.0,1.2283216
1383,"Йогурт VIOLA FREE безлактозный с наполнителем Малина, черная смородина 2,7%, без змж, 180г",1.16408624,180г,yogurt,Lenta,180.0,6.467145777777778,,,,
1384,"Йогурт VIOLA FREE безлактозный 3,4%, без змж, 180г",1.04799824,180г,yogurt,Lenta,180.0,5.822212444444444,,,,
1385,"Йогурт VIOLA FREE безлактозный с наполнителем Клубника, маракуйя 2,7%, без змж, 180г",1.16408624,180г,yogurt,Lenta,180.0,6.467145777777778,,,,
1386,"Молоко ультрапастеризованное ИЗ ВОЛОГДЫ Вологодское 3,2% ГОСТ, без змж, 200мл",0.40343344000000003,200мл,milk,Lenta,,,,,200.0,2.0171672
1387,"Молоко пастеризованное СЕВЕРНАЯ ДОЛИНА 2,5%, без змж, 900мл",1.06126544,900мл,milk,Lenta,,,,,900.0,1.1791838222222222
1388,"Йогурт SOLO Шоколад и миндаль 4,2%, без змж, 130г",0.58187728,130г,yogurt,Lenta,130.0,4.475979076923077,,,,
1389,"Йогурт SOLO Кленовый сироп и грецкий орех 4,2%, без змж, 130г",0.58187728,130г,yogurt,Lenta,130.0,4.475979076923077,,,,
