,name,price,uom,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
2006,Cà phê rang xay Sáng Tạo 4 Trung Nguyên gói 340g,151000.0,G1,Winmart,ground_coffee,340.0,444117.64705882355,,,,
2007,Cà phê Sáng Tạo số 5 gói 340g,184000.0,G1,Winmart,ground_coffee,340.0,541176.4705882353,,,,
2009,Cà phê Sáng Tạo số 3 Trung Nguyên gói 340g,133000.0,G1,Winmart,ground_coffee,340.0,391176.4705882353,,,,
2011,Cà phê chế phin 5 Trung Nguyên gói 500g,298000.0,G1,Winmart,ground_coffee,500.0,596000.0,,,,
2012,Cà phê Nâu Trung Nguyên Sức sống gói 500g,138000.0,G1,Winmart,ground_coffee,500.0,276000.0,,,,
2016,Cà phê rang xay đặc biệt Trung Nguyên gói 500g,93000.0,G1,Winmart,ground_coffee,500.0,186000.0,,,,
2017,Cà phê Khát Vọng Trung Nguyên gói 500g,109000.0,G1,Winmart,ground_coffee,500.0,218000.0,,,,
2033,Café Mr.Viet bột arabica 250g,149200.0,G1,Winmart,ground_coffee,250.0,596800.0,,,,
2034,Cà phê bột Mr.Viet hương chồn 250g,176700.0,G1,Winmart,ground_coffee,250.0,706800.0,,,,
2039,Nước uống tinh khiết Dasani chai 1.5 lít,9500.0,CHA,Winmart,water,,,,,1500.0,6333.333333333333
2040,Nước uống đóng chai Aquafina 1.5 lít,11600.0,CHA,Winmart,water,,,,,1500.0,7733.333333333333
2041,Nước uống Aquafina chai 5L,29500.0,CHA,Winmart,water,,,,,5000.0,5900.0
2042,Nước uống đóng chai Aquafina thùng 24 chai x 355ml,118000.0,T,Winmart,water,,,,,8520.0,13849.765258215963
2044,Nước uống đóng chai Dasani chai 500ml,111000.0,T,Winmart,water,,,,,0.0,inf
2046,Nước khoáng thiên nhiên Evian chai 330ml,27500.0,CHA,Winmart,water,,,,,330.0,83333.33333333333
2047,Nước khoáng thiên nhiên Evian chai 1.5L,72500.0,CHA,Winmart,water,,,,,1500.0,48333.333333333336
2050,Nước khoáng thiên nhiên Lavie thùng 24 chai x 350ml,114000.0,T,Winmart,water,,,,,8400.0,13571.42857142857
2051,Nước khoáng thiên nhiên Lavie thùng 24 chai x 500ml,119000.0,T,Winmart,water,,,,,12000.0,9916.666666666666
2053,"Nước tinh khiết TH True Water 1,5L",10800.0,CHA,Winmart,water,,,,,1500.0,7200.0
