name,level,hasChild,parent,link,item_codes
Bò và thịt các loại,3,False,Thịt,https://cooponline.vn/groups/bo-va-thit-cac-loai/,"99833,93288,81495,81493,81491,81489,81485,81483,81481,80724,71589,71242,71237,66226,66183,66181,66179,66177,66175,66172,60908,60906,60904,60902,46435,46189,43392,42346,40774,40772,40770,34235,34050,31810,31375,30563,29833,29831,29829,29827,29532,29530,28976,28738,28730,28719,28509,27812,27807,27800,27792,27782,27771,27767,27763,27747,27572,26625,26623,26248,26245,26230,16262,10626,6626,6622"
"Gà, vịt",3,False,Thịt,https://cooponline.vn/groups/ga/,"88618,88616,88614,88612,88610,88608,87864,84213,81499,81497,80722,80262,71613,71611,71532,71387,66210,66208,66206,66202,66200,66198,66196,62496,58759,56586,56469,56056,56054,56052,56050,56048,56046,56044,56042,56040,56038,56036,56034,56032,56030,55367,55369,55365,55173,55171,49913,46622,46433,46427,46211,46195,46173,46122,46112,46110,46101,46099,46092,45989,45986,45984,45982,45209,45207,45203,45176,45175,45171,45167,45165,45163,45161,45146,45143,44714,44697,31402,31401,31393,35992,35990,35570,34038,32566,32453,32451,32433,31398,31390,31388,30850,30784,30758,29419,29417,29415,29411,29409,29407,29405,29356,29353,29234,29232,29230,29228,29226,29168,29164,28750,28739,28733,28732,28534,27936,27935,27933,27855,27846,27841,27834,27753,27658,27652,27617,27515,26691,26686,26684,26682,26680,26678,26675,17467,16365,15457,13200,13152,13145,13132,13128,12481,10616,10614,10611,10609,10607,10605,10603,10601,10599,10597,10595,10593,10591,10589,9745,7504,7500,7497,7492,7490,7039,7187"
Thịt heo,3,False,Thịt,https://cooponline.vn/groups/thit-heo/,"65358,65353,65159,65155,65148,65146,64695,64693,64690,64686,64684,64682,64680,64678,64673,64252,64248,64246,64244,63050,63048,63046,63044,63042,63040,63037,62585,62481,62477,61421,61422,61423,61424,61419,60952,60936,60933,60930,60927,60924,60922,60920,60918,60916,60914,60912,60910,50656,46431,46206,46199,46193,46191,46182,46180,46178,46175,46126,46124,45953,45931,45216,45212,45186,45182,45178,45172,45169,44827,44796,44792,44790,44695,44688,44662,44641,44639,43408,43406,43403,43401,43398,43394,43390,43385,43383,43381,43378,42342,41961,41958,41956,41953,41951,41949,41943,41941,41935,41930,41571,40815,40813,40811,40809,38793,38364,38362,38359,38357,38355,38353,38351,38349,35698,35694,34283,34281,34279,34277,34275,34273,34271,34269,34267,34265,34263,34232,32285,31808,31806,31805,31409,31399,31396,31394,31387,31384,31383,31382,31381,31380,31379,31378,31377,31373,31372,30599,30597,30595,30591,30589,30587,29450,29346,29343,29341,29339,29337,29335,29333,29331,29329,29327,29325,29323,29321,29318,29316,29314,29311,29309,29307,29305,29303,29301,28984,28983,28981,28979,28978,28977,28974,28972,28971,28969,28967,28957,28955,28953,28727,28721,27941,27939,27937,27930,27928,27926,27925,27924,27923,27922,27914,27893,27891,27889,27887,27885,27828,27821,27819,27770,27756,27743,27709,27634,27632,27629,27623,26737,26735,26733,26731,26729,26727,26659,26657,26654,26652,26621,26618,26616,26614,26611,26306,26303,26301,26299,26297,26294,26292,26288,26285,26283,26280,26278,26275,26273,26271,26269,26243,26240,26238,26236,26234,465,458,222,218,11324,10622,10620,10618,9123,7735,7733,7086,6841,6838,6830,6828,6824,6816,6814,6802,6809,6782,6780,6778,226,461"
Cá,3,False,Thủy hải sản,https://cooponline.vn/groups/ca/,"104010,99712,99710,93267,93265,64588,64572,45975,45973,45968,45962,45229,45128,43453,43414,43412,43376,43371,43342,43339,42719,42717,42710,42707,42705,42697,42691,42686,42683,42681,42678,42675,42666,42664,42662,42660,42655,42653,42650,42648,42645,42640,42634,40469,39342,39340,38167,34044,34042,32606,32585,32583,32290,31692,31312,30783,30780,30777,30763,30566,29632,29628,29626,29624,29622,29620,29618,29614,29612,29610,29607,29605,29603,29601,29599,29597,29595,29593,29454,29403,29388,28943,28795,28793,28791,28789,28783,28742,28723,28506,28504,27916,27741,27559,27557,27555,27553,27513,26743,26697,26695,26693,2032,2018,2352,2305,2299,257,21242,16405,16403,15126,13130,8481,7727,7012,6909,6907,6905,2296,2293,2227,2015,468"
Hải sản,3,False,Thủy hải sản,https://cooponline.vn/groups/hai-san/,"99985,99979,99708,93263,80709,71609,71607,71538,64592,64590,64586,64578,35680,35665,46865,46863,46201,45205,43349,43347,43344,42712,42702,42699,42694,42689,42673,42671,42669,42642,42638,42636,41973,41968,39326,38305,38176,38173,38171,38169,33819,33190,32544,32296,32294,32282,31364,30565,30448,29630,29616,29378,29376,28787,28781,28731,28725,27725,27569,27562,26741,26739,263,15157,15158,12516,12368,11318,11316,11314,11312,9120,9117,2184"
Trứng cút,3,False,Trứng,https://cooponline.vn/groups/trung-cut/,"58755,46867,46215,29528,29049,27900,16367,3073"
Trứng gà,3,False,Trứng,https://cooponline.vn/groups/trung-ga/,"105217,97893,97890,97886,97883,97880,97877,91168,81505,80707,80685,58519,70068,66277,66275,62494,58724,56730,56164,54948,51616,51612,50848,50844,49924,47252,47250,46240,46236,46233,46230,46227,46225,46223,46221,46219,46056,44764,42365,38758,6608,34206,34204,32705,32119,32118,32113,31816,31405,30567,29526,29448,29440,29421,29351,29053,29051,28961,28959,28745,28743,28734,27896,27883,27879,27875,16373,16111,13353,13355,13350,13317,13315,13307,13305,10542,9589,6618,6616,6614,6610,3109"
Trứng vịt,3,False,Trứng,https://cooponline.vn/groups/trung-vit/,"81508,81503,81501,61962,58737,51764,51762,46244,46242,44761,44731,42376,34202,34199,34197,34195,32117,32115,31391,29425,29423,29348,29047,28965,27898,27881,27517,16102,13377,13375,13371,13367,13366,6620,6612,6348,3070,709"
"Bún tươi, bánh canh",2,False,"Thức ăn chế biến, bún tươi",https://cooponline.vn/groups/bun-tuoi-banh-canh/,"84929,84521,81392,81390,78150,17624,56742,52059,48950,35560,31429,31427,31425,31423,31421,31418,27511,3304,17626,17622,17616,9892,6397"
Thức ăn nấu chín,3,False,Thức ăn chế biến,https://cooponline.vn/groups/thuc-an-nau-chin/,"105264,105262,105260,105250,104026,104025,104021,104022,104019,104015,104016,104008,104005,104003,104001,103998,103994,99957,99919,99915,99912,99909,93495,91174,87862,84221,84219,84217,84215,83172,83170,83167,83165,83145,103985,81840,81471,81469,81467,81452,81445,81438,81395,80681,80530,72885,71530,68342,68337,57286,57283,49921,49509,49502,49389,49386,49384,49382,49380,49378,49375,49371,43893,43891,43889,43885,40475,38298,35689,35687,35685,35663,35660,35657,35655,35558,35556,35553,35544,35542,34192,34160,33810,33808,33806,33796,33516,32511,32463,32212,32210,32206,32204,30864,30860,30805,30792,30749,29591,29589,29587,29585,29583,29581,29579,29577,29575,29573,29386,29384,29382,29358,27920,27759,27755,27748,27734,27711,27704,24467,24465,24413,24273,24155,24152,24081,24079,24036,24034,23957,23941,23939,23859,23857,23855,23847,23843,23841,23838,23821,23815,23813,23442,23421,23266,23262,23058,20944,20942,16371,16369,16361,12484,11320,9126,7739,6346,2311"
Thức ăn tẩm ướp,3,False,Thức ăn chế biến,https://cooponline.vn/groups/thuc-an-tam-uop/,"104691,104689,104014,104012,104006,103999,103992,91571,91456,81475,81473,81205,80528,80362,72883,72881,72879,71534,47521,46870,45233,45131,42714,42391,42381,32589,32587,32572,32555,32550,32432,32428,32424,32418,32415,32407,32305,30794,29505,29413,29401,29399,29390,29380,29362,29360,27729,27691,27678,27654,26459,26457,26453,26446,26450,26444,26442,26440,26438,26435,26433,26431,26429,26427,26425,26423,26421,26419,26417,26415,26413,26411,26409,26407,26405,26403,26387,26385,26383,19243,19241,16363,16107,12475,11322,11301,2673,2606,2594,1208"
"Kem cây, ly",3,False,Kem,https://cooponline.vn/groups/kem-cay-ly/,"100039,100037,100033,100031,100029,100027,100006,94367,94170,89653,89006,89005,89002,8210,8208,8206,8204,76797,76795,62708,56484,61442,61439,48255,48253,48251,46757,46671,46669,46667,46665,46607,46604,46600,46598,45906,45904,43519,40708,40704,40689,40685,40680,40674,38731,36011,36007,21078,20182,20180,16413,16411,16409,14190,14187"
Kem hộp,3,False,Kem,https://cooponline.vn/groups/kem-hop/,"16734,16732,16728,100041,100035,98851,98849,98847,98844,312,68978,62385,62383,62380,62378,62375,62373,62371,62348,62346,62344,62342,62337,62333,62327,62325,62323,59108,59106,59104,59037,56490,59426,59421,40677,10981,38729,10979,37988,37924,37922,37920,36020,2959,16770,16768,10983,16730,16475,16473,16471,15620,15618,15616,14193,14177,14173,14171,14169,8312,8310,8300,8298,8215,318,315"
"Hoành thánh, bánh xếp…",3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/hoanh-thanh-banh-xep/,"104327,104324,10248,10230,21218,98945,98943,98605,98603,94448,94443,94441,94439,94437,94431,94352,92776,2525,2522,91139,90187,90079,90055,87600,86164,85742,1383,84544,80433,79244,79229,79226,78885,77278,76711,76693,75657,75655,75652,75650,74381,74356,74309,74305,73417,73414,72273,70760,69357,68780,68230,16678,59580,50855,49815,43861,41849,41583,39996,38927,38912,38727,37996,37014,36609,36140,36023,35634,35631,35628,35620,27989,27686,27348,27342,27340,26196,25449,25446,25443,24456,23768,23765,23763,22943,21227,21215,21212,20499,20237,20170,1498,19839,17974,17965,16724,16720,16676,16674,16441,16399,16384,16382,16380,2528,15583,14194,13964,13961,12309,10860,10293,10224,9987,9934,9863,9069,9058,8284,8278,8276,8274,8259,7293,7287,7139,6572,3751,3295,3286,3246,1752,1486,1453"
"Lẩu, rau củ đông lạnh",3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/lau-rau-cu-dong-lanh/,"106725,104444,104435,104432,100273,100271,100269,98049,94586,94276,94272,94260,94254,91813,89919,88583,86935,83955,80437,76685,72695,72688,72678,69330,68012,67966,66234,63441,63439,62498,46747,43357,40846,40844,40842,40553,40551,35722,32528,27360,27358,27356,27320,27311,27068,27045,27031,25778,24180,24178,24169,24167,20497,19831,19829,19792,19237,3234,17265,16445,16394,15572,14666,12959,7881,7878,7808"
"Thịt, hải sản đông lạnh",3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/thit-hai-san-dong-lanh/,"105386,105385,103696,99998,99991,99988,99868,99865,99863,99861,99859,99857,99839,99837,99833,99817,97603,97547,97545,95796,95794,95263,94428,93849,93847,93844,93842,93839,93825,93367,93365,93293,89769,89765,69563,88585,88581,88579,86943,86933,86931,85170,84352,84350,83962,81477,80626,79817,79259,79257,78810,78808,78804,78802,78800,78553,77329,76136,75659,74246,71640,71154,71137,71133,69619,69334,69332,68954,68795,68793,68476,68385,68368,68340,68050,68044,68003,63069,61452,50853,49181,49179,49177,47607,47602,47600,46927,46921,46917,46839,46500,46197,45059,45057,45055,45025,45023,44880,42746,41765,40547,39786,39465,37016,35867,35865,35847,34320,28947,27354,27322,27317,27302,27297,26052,25583,25591,25589,2284,20925,23673,23671,23603,23273,23271,22814,3694,20915,20907,20487,20430,20111,17286,16766,16747,16664,16396,15196,14342,14340,14336,13592,13590,13530,13528,12969,12386,10882,10839,10764,10258,10206,9967,9903,9056,9054,8608,8606,7913,7909,7787,7337,5342,5340,3701,3653,3677,3520,3243,3240,2989,2974,2224,2042"
Thực phẩm đông lạnh khác,3,False,Thực phẩm đông lạnh,https://cooponline.vn/groups/thuc-pham-dong-lanh-khac/,"105383,104438,104436,104382,104337,104335,103669,102829,102826,102823,100004,100001,99995,98984,98842,98840,98838,98836,98834,98522,98520,97227,43523,93362,93360,93357,93013,92320,92318,92316,92315,35981,35979,35977,35975,16670,90185,90181,90179,90177,90088,90086,90084,90082,90062,90061,90060,88827,88825,88822,88820,87542,86941,86938,1392,84077,83908,83906,83904,83846,80431,77412,77410,77403,76697,76687,76683,76681,76679,76677,75538,75446,75221,75219,74448,74212,74195,71226,71162,71129,70000,69998,69952,69642,69613,69582,69375,69340,69329,69023,68975,68798,68775,68773,68362,67993,3289,62712,62401,62397,62395,62393,62391,62389,59628,59626,59583,58829,58757,51955,51953,50851,47605,46804,45018,43465,43463,41926,41910,41812,41788,41745,41216,40545,40543,39481,38925,38923,38921,38687,38290,38273,38271,38269,38266,38264,37600,37598,37596,37020,37018,36882,36606,35624,35622,35179,33046,32820,32157,29364,27350,27346,27333,27335,27331,27329,27327,27325,27313,27307,27304,27300,27035,3704,26042,21089,24690,2284,23772,23679,23601,23397,22846,3671,3668,19833,19235,19233,19030,17313,17263,17261,16672,16407,15819,14377,14375,14352,14350,12971,12328,12315,11465,10886,10354,9935,9909,9065,7928,7891,7888,7291,2996,1926,1919"
Bánh bao,3,False,Thực phẩm trữ mát,https://cooponline.vn/groups/banh-bao/,"94435,93712,93634,92575,92124,77276,76721,71189,71187,71185,71183,71146,71142,70992,70919,70917,70914,70902,70370,64606,64604,64602,64594,55654,47254,44737,44663,44658,42373,41928,41906,41898,41808,41798,41757,41751,41735,41733,41655,41577,41506,23599,23597,21230,9842,9840,7289,6666,4115,3517"
"Cá viên, bò viên, chả cá",3,False,Thực phẩm trữ mát,https://cooponline.vn/groups/ca-vien-bo-vien-cha-ca/,"106730,106728,21221,95278,95276,95274,95272,95269,95266,95260,95255,93370,93295,88046,86945,84348,76748,76134,74191,66628,66185,60900,59854,58848,56471,50459,50454,50122,47609,41820,40543,40477,40473,40471,38140,36027,32159,29396,3665,27866,27859,27380,21223,21081,3742,3745,20491,20470,3382,18945,18277,16468,16388,15574,14365,14363,14361,14359,13735,11461,10900,9052,7868,7862,7339,5337,3000,2978,1386"
"Chả, giò, nem các loại",3,False,Thực phẩm trữ mát,https://cooponline.vn/groups/cha-gio-nem-cac-loai/,"105480,105384,105254,104555,104553,104548,104334,104331,104329,9983,103653,98927,94870,94426,94413,92101,91684,91681,91679,90183,88813,86472,13662,2393,83276,83269,83191,83140,83016,80038,76188,74460,74244,74234,74224,74219,74209,71228,71181,71156,71051,71046,71039,71037,71027,71002,71000,70998,70988,70982,70980,70926,70921,70923,70558,70556,70152,69974,69609,68987,68066,59860,56925,49819,49817,49813,49811,47595,46841,46730,46728,46726,46573,46571,46569,46567,46520,46517,46507,46165,46163,46148,45747,45745,45039,45037,43301,43298,42387,41154,39475,39473,38917,38735,36879,36101,31297,31294,29534,27386,27384,27377,23982,20109,18060,18058,17151,17149,17147,16774,16757,16755,16753,16751,16749,16649,14668,13490,13488,13154,7871,7022,1424,5335,3697,3505,3502,2953,1501"
"Dăm bông, xúc xích, thịt nguội",3,False,Thực phẩm trữ mát,https://cooponline.vn/groups/dam-bong-xuc-xich-thit-nguoi/,"106732,106197,106186,106184,100329,99141,98609,98607,98525,98518,98516,98512,95649,95646,94872,93648,93646,93644,93642,93640,93638,93636,92126,92123,90377,90373,90048,71025,88817,87598,87301,86899,86796,86167,85191,84557,83800,83274,80052,80048,77282,74240,71235,71233,71230,71223,71172,71167,71159,71131,71127,71124,71033,71006,70928,70540,70527,68480,68335,68033,58136,9050,56579,55635,51723,51645,50797,50783,46878,46876,46874,46830,42145,42141,41780,41711,41283,41281,41279,41156,40427,39047,38915,27646,27644,27392,27390,27388,23993,23987,23681,23677,23526,23044,20927,20827,20825,20489,20450,20434,20163,20161,20107,19351,17967,15578,15174,15175,15171,15169,15167,14166,14154,13658,13656,13509,13505,13503,13501,13499,13497,13495,13484,12963,12961,10758,10756,10754,7932,7875,7026,7024,5344,3514,3511,3508,3499,3493,3373,3292,2397"
"Đồ chua, kim chi, tàu hủ",3,False,Thực phẩm trữ mát,https://cooponline.vn/groups/do-chua-kim-chi-tau-hu/,"105252,103987,98828,21160,93892,93890,93880,90207,90145,21162,87613,85615,6426,6424,84564,84561,83765,75212,75148,74395,71556,71055,71031,71010,71004,70996,69321,69319,66214,66212,63819,63820,58730,56753,46925,46923,46856,46694,46692,46120,46118,46116,46081,46024,45966,45912,45897,44805,44803,44798,43457,42585,38188,32816,32814,29166,28592,27591,27587,3181,23593,16449,15684,13687,7185,6422,6419,6417,3310,3178"
Thực phẩm trữ mát khác,3,False,Thực phẩm trữ mát,https://cooponline.vn/groups/thuc-pham-tru-mat-khac/,"105258,105256,103984,99765,98500,95724,95722,94532,94530,94411,93320,93318,93316,93314,92128,91425,90213,90211,89644,88828,86793,86790,84559,84541,83798,83796,83783,83772,81585,80079,80077,80070,80068,80066,74445,74232,74189,73524,71628,71626,71179,70592,68736,67983,66232,66228,66224,66222,66220,66218,65843,65841,64612,64608,59086,58124,56723,56578,55633,49930,49751,49915,49911,49196,49194,48037,48035,46872,46861,46734,46130,46128,46120,46118,46116,45213,44705,43799,43785,40338,38583,38182,27669,35942,31289,25702,25698,3870,20089,20085,17819,17816,16390,13664,12967"
"Bánh bông lan, choco, bánh trứng",3,False,Bánh,https://cooponline.vn/groups/banh-bong-lan-choco-banh-trung/,"106361,104932,104930,104922,104249,103744,103713,102196,102193,102189,101851,101849,101832,101827,101818,101816,101771,67554,101667,101289,101287,101268,101266,101186,101183,101172,101170,101115,101072,101064,101062,101060,101052,101050,101035,101033,101027,101025,101004,99952,99932,99930,99925,98931,98929,98855,98476,96697,96690,95821,94860,94855,19058,19054,66644,94465,93675,93500,92801,92152,91651,91190,91188,91186,91184,91182,91178,91102,90719,90718,90366,90365,89747,89717,89715,89062,89060,88100,88073,87215,87213,87210,87204,86590,77399,77368,2824,85835,85626,85624,3337,8426,8420,84307,84291,84289,84252,83983,83975,83966,82052,82048,80595,78511,78392,78388,78385,78383,78381,78379,78377,78375,78282,78280,78268,78266,78264,77401,77387,76715,76036,70516,68321,68319,67730,67563,67500,67526,67512,67544,67533,67509,67531,67528,67479,67503,67491,67489,67487,67482,67475,67473,67471,67469,67467,67465,67459,67463,67443,67439,67434,67421,67414,67409,67401,67377,67354,67352,67350,67348,67344,67200,67197,67192,67180,67178,67034,67032,67027,67020,67018,66057,66055,66053,64336,64334,64332,64330,63975,63972,63970,63908,63906,63904,63901,62757,62755,60693,60074,59864,59862,59745,59742,59602,59591,59574,58865,58670,58641,58639,54637,52341,52339,52337,52334,52268,51281,50772,50770,50768,48499,48029,47273,47256,46532,46215,46122,45989,45108,44878,44721,44391,43527,41912,41885,41818,41786,41753,41594,41425,41423,41292,37352,36176,34988,34327,34172,33986,32252,32248,31065,27961,27739,27655,27648,27639,27630,27624,27618,27287,27285,25493,23797,23453,23451,3334,20563,19378,18820,3837,17516,16543,16541,14695,11457,11455,11408,11406,11393,8432,8416,8412,1380,1377"
