,name,price,pricing_unit,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
3624,Сахар Сытое царство белый кристаллический свекловичный 500г,40.99,500 г,sugar,Pyaterochka,500.0,81.98,,,,
3628,Чай черный Принцесса Нури Высокогорный 100х2г,184.99,100 шт,tea,Pyaterochka,200.0,924.95,100.0,1.8499,,
3629,Чай Азерчай Букет черный байховый крупнолистовой 100г,194.99,100 г,tea,Pyaterochka,100.0,1949.9,,,,
3631,Кофе Жокей По-восточному натуральный жареный молотый 250г,278.99,250 г,ground_coffee,Pyaterochka,250.0,1115.96,,,,
3633,Чай Greenfield Spring Melody черный в пакетиках 25х1.5г,105.99,45 г,tea,Pyaterochka,37.5,2826.4,,,,
3634,Чай зеленый Greenfield Green melissa 25х1.5г,149.99,25 шт,tea,Pyaterochka,37.5,3999.7333333333336,25.0,5.9996,,
3635,Чай черный Лисма Насыщенный индийский 25х1.8г,55.99,25 шт,tea,Pyaterochka,45.0,1244.2222222222224,25.0,2.2396000000000003,,
3637,Чай травяной Greenfield Summer Bouquet 25х2г,119.99,25 шт,tea,Pyaterochka,50.0,2399.7999999999997,25.0,4.7996,,
3639,Чай Curtis Sunny Lemon черный в пакетиках 20х1.47г,93.99,34 г,tea,Pyaterochka,29.4,3196.938775510204,,,,
3641,Чай черный Tess Pleasure шиповник-яблоко 100х1.5г,262.99,100 шт,tea,Pyaterochka,150.0,1753.2666666666667,100.0,2.6299,,
3642,Чай зеленый Assand Young Melissa с мелиссой 25x1.5г,99.99,25 шт,tea,Pyaterochka,37.5,2666.4,25.0,3.9995999999999996,,
3644,Чай Greenfield Earl Grey Fantasy черный с бергамотом 100х2г,456.99,200 г,tea,Pyaterochka,200.0,2284.9500000000003,,,,
3648,Чай черный Greenfield Earl Grey Fantasy с бергамотом 100г,169.99,100 г,tea,Pyaterochka,100.0,1699.9,,,,
3650,Чай зеленый Curtis Delicate Mango 20х1.8г,93.99,20 шт,tea,Pyaterochka,36.0,2610.8333333333335,20.0,4.6995,,
3653,Чай черный Принцесса Нури Высокогорный 25х2г,57.99,25 шт,tea,Pyaterochka,50.0,1159.8,25.0,2.3196,,
3655,Чай черный Greenfield Золотой Цейлон листовой 100г,169.99,100 г,tea,Pyaterochka,100.0,1699.9,,,,
3656,Чай Greenfield Грин мелисса зеленый с ароматом мяты и лимона в пакетиках 100х1.5г,402.99,150 г,tea,Pyaterochka,150.0,2686.6,,,,
3659,Чай черный Азерчай Букет 100х2г,204.99,100 шт,tea,Pyaterochka,200.0,1024.95,100.0,2.0499,,
3660,Чай черный Richard Royal ceylon байховый 100х2г,294.99,100 шт,tea,Pyaterochka,200.0,1474.95,100.0,2.9499,,
3662,Чай зеленый Assand Milk Oolong китайский молочный улун 25x2г,105.99,25 шт,tea,Pyaterochka,50.0,2119.7999999999997,25.0,4.239599999999999,,
3663,"Чай травяной Honey Kid яблоко, липовый цвет и мелисса для детей с 4 мес. 85г",113.99,85 г,tea,Pyaterochka,85.0,1341.0588235294117,,,,
3666,Чай черный Майский Лесные ягоды 25х1.5г,72.79,37 г,tea,Pyaterochka,37.5,1941.0666666666668,,,,
3668,Кофе молотый Monarch Original натуральный жареный 230г,349.99,230 г,ground_coffee,Pyaterochka,230.0,1521.695652173913,,,,
3671,Кофе Lavazza Crema e Gusto молотый 250г,453.99,250 г,ground_coffee,Pyaterochka,250.0,1815.96,,,,
3672,Чай черный Assand Charming Thyme с чабрецом 25х2г,99.99,25 шт,tea,Pyaterochka,50.0,1999.7999999999997,25.0,3.9995999999999996,,
3675,Чай черный Akbar Akbar Mountain Fresh 25х2г,69.99,25 шт,tea,Pyaterochka,50.0,1399.8,25.0,2.7996,,
3677,Чай Tess Санрайз черный в пакетиках 100х1.8г,302.39,180 г,tea,Pyaterochka,180.0,1679.9444444444446,,,,
3679,Кофе Lebo Принц Лебо арабика молотый для турки 100г,189.99,100 мл,ground_coffee,Pyaterochka,100.0,1899.9,,,100.0,1899.9
3681,Чай черный Richard Lord Grey с бергамотом 90г,145.99,90 г,tea,Pyaterochka,90.0,1622.1111111111113,,,,
3682,Чай черный Ahmad Tea Earl Grey 25х2г,134.39,25 шт,tea,Pyaterochka,50.0,2687.7999999999997,25.0,5.3755999999999995,,
3683,Чай черный Ahmad Tea Mango Magic с ароматом манго 25х1.5г,134.39,25 шт,tea,Pyaterochka,37.5,3583.733333333333,25.0,5.3755999999999995,,
3685,Чай Greenfield Золотой цейлон черный цейлонский листовой 200г,259.99,200 г,tea,Pyaterochka,200.0,1299.95,,,,
3686,Чай Greenfield Kenyan Sunrise черный в пакетиках 25х2г,139.99,50 г,tea,Pyaterochka,50.0,2799.8,,,,
3690,Чай черный Richard Royal Peach & Mint с ароматом персика и мяты 25х1.7г,109.99,25 шт,tea,Pyaterochka,42.5,2588.0,25.0,4.3995999999999995,,
3691,Чай зеленый Assand Jasmine Blossom китайский с жасмином 25х2г,99.99,25 шт,tea,Pyaterochka,50.0,1999.7999999999997,25.0,3.9995999999999996,,
3692,Чай черный Richard Royal classic Эрл Грей с бергамотом 100х2г,309.99,100 шт,tea,Pyaterochka,200.0,1549.95,100.0,3.0999,,
3694,Кофе Жокей ирландские сливки молотый 150г,247.99,150 г,ground_coffee,Pyaterochka,150.0,1653.2666666666667,,,,
3696,Чай Akbar Цейлон черный в пакетиках 100х2г,426.99,200 г,tea,Pyaterochka,200.0,2134.95,,,,
3697,Чай Richard Роял Цейлон черный в сашетах 25х2г,109.99,50 г,tea,Pyaterochka,50.0,2199.7999999999997,,,,
3698,Сахар Global Village нерафинированный тростниковый кристаллический 500г,178.99,500 г,sugar,Pyaterochka,500.0,357.98,,,,
3699,Чай черный Assand Mysterious Berry с ягодами и травами 25x1.5г,99.99,25 шт,tea,Pyaterochka,37.5,2666.4,25.0,3.9995999999999996,,
3700,Чай черный Принцесса Нури Магия бергамота 100х2г,199.99,100 шт,tea,Pyaterochka,200.0,999.95,100.0,1.9999,,
3701,Сахар Global Village тростниковый кусковой нерафинированный 500г,166.99,500 г,sugar,Pyaterochka,500.0,333.98,,,,
3703,Чай черный Assand Earl Grey 25х2г,99.99,25 шт,tea,Pyaterochka,50.0,1999.7999999999997,25.0,3.9995999999999996,,
3705,Чай зеленый Curtis Hugo Cocktail 20х1.8г,93.99,20 шт,tea,Pyaterochka,36.0,2610.8333333333335,20.0,4.6995,,
3708,Кофе Jardin Americano Crema молотый 250г,317.99,250 г,ground_coffee,Pyaterochka,250.0,1271.96,,,,
3710,Чай Richard Королевский цейлон черный листовой 90г,145.99,90 г,tea,Pyaterochka,90.0,1622.1111111111113,,,,
3711,Сахар Чайкофский белый кусковой 250г,48.99,250 г,sugar,Pyaterochka,250.0,195.96,,,,
3712,Чай ассорти Curtis Happy Holidays dessert tea collection 58.5г,459.99,30 шт,tea,Pyaterochka,58.5,7863.076923076923,30.0,15.333,,
3713,Чай Лисма чёрный байховый индийский крепкий в пакетиках 100х2г,182.55,200 г,tea,Pyaterochka,200.0,912.7500000000001,,,,
3715,Чай черный Ahmad Strawberry Cream с ароматом клубники со сливками 25х1.5г,119.99,25 шт,tea,Pyaterochka,37.5,3199.733333333333,25.0,4.7996,,
3716,Чай Бабушкино лукошко детский травяной Ромашка 20x1г,127.99,20 г,tea,Pyaterochka,20.0,6399.5,,,,
3720,Чай черный Greenfield Spring Melody 100х1.5г,369.59,100 шт,tea,Pyaterochka,150.0,2463.9333333333334,100.0,3.6959,,
3721,Чай черный Assand Magnetic Mint с мятой 25x2г,105.99,25 шт,tea,Pyaterochka,50.0,2119.7999999999997,25.0,4.239599999999999,,
3722,Чай черный Майский Корона Российской Империи 200г,251.99,200 г,tea,Pyaterochka,200.0,1259.95,,,,
3724,Чай черный Richard Royal Berries Selection лесные ягоды 25х1.7г,149.99,25 шт,tea,Pyaterochka,42.5,3529.1764705882356,25.0,5.9996,,
3725,Чай зеленый Ahmad Tea Китайский 25х1.8г,89.59,25 шт,tea,Pyaterochka,45.0,1990.888888888889,25.0,3.5836,,
3726,Чай черный Майский Отборный Цейлон 25х2г,72.79,25 шт,tea,Pyaterochka,50.0,1455.8000000000002,25.0,2.9116000000000004,,
3727,Кофе Venetto молотый натуральный жареный 250г,329.99,250 г,ground_coffee,Pyaterochka,250.0,1319.96,,,,
3730,Кофе молотый Живой Кофе Arabica жареный 200г,286.99,200 г,ground_coffee,Pyaterochka,200.0,1434.95,,,,
3731,Чай зеленый Greenfield Flying Dragon крупнолистовой 100г,151.19,100 г,tea,Pyaterochka,100.0,1511.9,,,,
3735,Чай Азерчай Букет черный байховый крупнолистовой 200г,322.99,200 г,tea,Pyaterochka,200.0,1614.95,,,,
3736,Кофе молотый Красная цена средней обжарки 100г,99.99,100 г,ground_coffee,Pyaterochka,100.0,999.8999999999999,,,,
3738,Чай черный Майский Корона Российской Империи цейлонский листовой 100г,145.59,100 г,tea,Pyaterochka,100.0,1455.8999999999999,,,,
3739,Кофе Fresco Arabica Blend жареный молотый 250г,402.99,250 г,ground_coffee,Pyaterochka,250.0,1611.96,,,,
3742,Кофе Egoiste Espresso молотый 250г,556.99,250 г,ground_coffee,Pyaterochka,250.0,2227.96,,,,
3745,Чай черный Ahmad Tea Earl Grey с ароматом бергамота 100х2г,470.39,100 шт,tea,Pyaterochka,200.0,2351.95,100.0,4.7039,,
3747,Чай черный Assand Highborn Earl Grey с ароматом бергамота 100х2г,289.99,100 шт,tea,Pyaterochka,200.0,1449.95,100.0,2.8999,,
3748,Чай зеленый Richard Royal Moroccan Mint 25х2г,149.99,25 шт,tea,Pyaterochka,50.0,2999.8,25.0,5.9996,,
3750,Чай черный Принцесса Канди цейлонский 100х2г,199.99,100 шт,tea,Pyaterochka,200.0,999.95,100.0,1.9999,,
3752,Чай черный Assand Highborn Earl Grey с ароматом бергамота 100г,132.99,100 г,tea,Pyaterochka,100.0,1329.9,,,,
3753,Чай черный Assand Famous Ceylon 100г,132.99,100 г,tea,Pyaterochka,100.0,1329.9,,,,
3754,Чай травяной Greenfield Wildberry Rooibus с кусочками земляники и клюквы 25х1.5г,148.99,25 шт,tea,Pyaterochka,37.5,3973.066666666667,25.0,5.9596,,
3755,Чай черный Ahmad Tea Классический листовой 200г,249.99,200 г,tea,Pyaterochka,200.0,1249.95,,,,
3759,Сахар Экстра белый кусковой 500г,70.99,500 г,sugar,Pyaterochka,500.0,141.98,,,,
3760,Кофе молотый Piazza Del Caffe Gusto Forte темнообжаренный 250г,329.99,250 г,ground_coffee,Pyaterochka,250.0,1319.96,,,,
3761,Чай черный Assand Famous Ceylon 100х2г,289.99,100 шт,tea,Pyaterochka,200.0,1449.95,100.0,2.8999,,
3763,Чай черный Curtis Delicate Black 25х1.7г,144.99,25 шт,tea,Pyaterochka,42.5,3411.5294117647063,25.0,5.799600000000001,,
3766,Чай Ahmad Tea Earl Grey черный 200г,380.79,200 г,tea,Pyaterochka,200.0,1903.95,,,,
3767,Чай черный Richard Королевский английский завтрак 100x2г,309.99,100 шт,tea,Pyaterochka,200.0,1549.95,100.0,3.0999,,
3771,Чай черный Assand Цейлонский 25х2г,99.99,50 г,tea,Pyaterochka,50.0,1999.7999999999997,,,,
3772,Чай зеленый Assand Jasmine Blossom с жасмином 100г,132.99,100 г,tea,Pyaterochka,100.0,1329.9,,,,
3778,Чай черный Принцесса Канди Медиум цейлонский 100г,89.99,100 г,tea,Pyaterochka,100.0,899.9,,,,
3779,Чай черный Dilmah Ceylon Orange Pekoe крупнолистовой 250г,369.59,250 г,tea,Pyaterochka,250.0,1478.36,,,,
3781,Чай черный байховый индийский 100х1.6г,109.99,100 шт,tea,Pyaterochka,160.0,687.4374999999999,100.0,1.0998999999999999,,
3783,Чай черный Beta Tea ОРА крупнолистовой 250г,329.99,250 г,tea,Pyaterochka,250.0,1319.96,,,,
3786,Кофе Monarch Gold Arabica натуральный жареный молотый 200г,359.99,200 г,ground_coffee,Pyaterochka,200.0,1799.95,,,,
3789,Чай черный Майский Корона Российской Империи цейлонский 100х2г,289.99,100 шт,tea,Pyaterochka,200.0,1449.95,100.0,2.8999,,
3791,Чай черный Ahmad Tea Earl Grey с ароматом бергамота листовой 100г,201.59,100 мл,tea,Pyaterochka,100.0,2015.9000000000003,,,100.0,2015.9000000000003
3792,Чай зеленый Assand Chinese Green листовой 100г,132.99,100 г,tea,Pyaterochka,100.0,1329.9,,,,
3793,Чай черный Dilmah Ceylon Orange Pekoe крупнолистовой 100г,190.39,100 г,tea,Pyaterochka,100.0,1903.8999999999999,,,,
3797,Чай Крепкие Традиции черный 25х2г,46.99,50 г,tea,Pyaterochka,50.0,939.8000000000001,,,,
3799,Чай черный Tess Banana Split 20х1.8г,132.99,20 шт,tea,Pyaterochka,36.0,3694.166666666667,20.0,6.649500000000001,,
3804,Чай черный Красная Цена 20х2г,25.99,40 г,tea,Pyaterochka,40.0,649.7499999999999,,,,
3805,Чай черный Крепкие традиции Цейлонский крупнолистовой 250г,159.99,250 г,tea,Pyaterochka,250.0,639.96,,,,
3807,Чай черный Tess Санрайз в пакетиках 25х1.8г,119.99,45 г,tea,Pyaterochka,45.0,2666.4444444444443,,,,
3808,Чай зеленый Assand Fresh summer Лайм с цедрой цитрусовых 100x1.5г,299.99,100 шт,tea,Pyaterochka,150.0,1999.9333333333334,100.0,2.9999000000000002,,
3810,Чай Tess Flame фруктовый с земляникой и розовым перцем в пакетиках 25х2г,104.99,50 г,tea,Pyaterochka,50.0,2099.8,,,,
3813,Чай зеленый Принцесса Ява Традиционный китайский 200г,156.79,200 г,tea,Pyaterochka,200.0,783.9499999999999,,,,
3814,Чай черный Assand Apple Orchard 100x1.5г,299.99,100 шт,tea,Pyaterochka,150.0,1999.9333333333334,100.0,2.9999000000000002,,
3815,Чай черный Assand Kenyan tea 100х2г,289.99,100 шт,tea,Pyaterochka,200.0,1449.95,100.0,2.8999,,
3817,Чай Красная цена черный мелколистовой 100г,29.99,100 г,tea,Pyaterochka,100.0,299.9,,,,
3818,Чай Ahmad Tea зеленый с жасмином в пакетиках 25х2г,109.99,50 г,tea,Pyaterochka,50.0,2199.7999999999997,,,,
3820,Чай зеленый Зеленая панда Молочный туман китайский молочный оолонг 100г,232.99,100 г,tea,Pyaterochka,100.0,2329.9,,,,
3821,Чай травяной Greenfield Natural Tisane Lemongrass & Schisandra 20х1.8г,199.99,20 шт,tea,Pyaterochka,36.0,5555.277777777778,20.0,9.999500000000001,,
3825,Чай черный Крепкие Традиции байховый 100х2г,179.99,200 г,tea,Pyaterochka,200.0,899.95,,,,
3826,Чай черный Akbar GFold цейлонский 25х2г,95.19,25 шт,tea,Pyaterochka,50.0,1903.8,25.0,3.8076,,
3831,Кофе молотый Julius Meinl Президент натуральный жареный 220г,466.99,220 г,ground_coffee,Pyaterochka,220.0,2122.6818181818185,,,,
3833,Чай черный Akbar Limited Edition крупнолистовой 200г,243.99,200 г,tea,Pyaterochka,200.0,1219.95,,,,
3834,Чай черный Ahmad Tea Английский завтрак 100х2г,470.39,100 шт,tea,Pyaterochka,200.0,2351.95,100.0,4.7039,,
3835,Чай черный Champion Pekoe цейлонский 100г,189.99,100 г,tea,Pyaterochka,100.0,1899.9,,,,
3839,Чай черный Greenfield Fine Ceylon байховый цейлонский крупнолистовой 90г,189.99,90 г,tea,Pyaterochka,90.0,2111.0,,,,
3841,Сахар Naturiqa Экстра белый кусковой 500г,76.99,500 г,sugar,Pyaterochka,500.0,153.98,,,,
3845,Чай черный Крепкие Традиции крупнолистовой 200г,129.99,200 г,tea,Pyaterochka,200.0,649.95,,,,
3847,Чай черный Dilmah Английский завтрак 100x2г,481.59,100 шт,tea,Pyaterochka,200.0,2407.95,100.0,4.8159,,
3851,Кофе Coffesso Brazil Alto жареный молотый в дрип-пакетах среднеобжаренный 5х10г,205.99,5 шт,ground_coffee,Pyaterochka,50.0,4119.8,5.0,41.198,,
3852,"Кофе Coffesso Crema Delicato жареный молотый, 5x9г",205.99,45 г,ground_coffee,Pyaterochka,45.0,4577.555555555556,,,,
3855,"Кофе Carte Noire Original жареный молотый, 230г",469.99,230 г,ground_coffee,Pyaterochka,230.0,2043.4347826086955,,,,
3856,Кофе молотый Carte Noire Crema Delice 230г,469.99,230 г,ground_coffee,Pyaterochka,230.0,2043.4347826086955,,,,
3858,Чай черный Beta tea Golden quality 100х1.5г,449.99,100 шт,tea,Pyaterochka,150.0,2999.9333333333334,100.0,4.4999,,
3860,Чай ассорти Greenfield Нэйчерал Тизан коллекция 54г,442.99,30 шт,tea,Pyaterochka,54.0,8203.51851851852,30.0,14.766333333333334,,
3863,Чай черный Принцесса Гита Индийский 100х2г,179.19,100 шт,tea,Pyaterochka,200.0,895.95,100.0,1.7919,,
3864,Кофе Coffesso Classico Italiano жареный молотый 5x9г,205.99,45 г,ground_coffee,Pyaterochka,45.0,4577.555555555556,,,,
3865,Чай черный Curtis Tender Moments ароматизированный 100х1.5г,349.99,100 шт,tea,Pyaterochka,150.0,2333.266666666667,100.0,3.4999000000000002,,
3866,Чай зеленый Японская матча Вкус & Польза премиум порошковый 50г,308.99,50 г,tea,Pyaterochka,50.0,6179.8,,,,
3870,Соль поваренная пищевая 1кг,17.99,1 кг,salt,Pyaterochka,1000.0,17.99,,,,
3875,Соль Экстра йодированная выварочная 500г,75.99,500 г,salt,Pyaterochka,500.0,151.98,,,,
3886,Соль Salina пищевая каменная 1кг,38.99,1 кг,salt,Pyaterochka,1000.0,38.99,,,,
3902,Соль Sea Salt морская йодированная 500г,66.99,500 г,salt,Pyaterochka,500.0,133.98,,,,
3916,Соль Экстра выварочная пищевая 500г,83.99,500 г,salt,Pyaterochka,500.0,167.98,,,,
3943,Соль Sea Salt морская пищевая крупная 500г,66.99,500 г,salt,Pyaterochka,500.0,133.98,,,,
3969,Соль Валетек пищевая с пониженным содержанием натрия-калий-магний-йод 350г,82.99,350 г,salt,Pyaterochka,350.0,237.1142857142857,,,,
3974,Соль Щепотка Чесночная пищевая 120г,80.99,120 г,salt,Pyaterochka,120.0,674.9166666666666,,,,
3975,Масло подсолнечное Слобода рафинированное дезодорированное 1л,151.19,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,151.19
3976,Масло Олейна подсолнечное рафинированное дезодорированное 1с 1л,144.99,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,144.99
3977,Масло подсолнечное Благо дезодорированное вымороженное 1л,158.99,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,158.99
3978,Масло Altero подсолнечное с добавлением оливкового 810мл,164.99,810 мл,sunflower_oil,Pyaterochka,,,,,810.0,203.69135802469137
3979,Масло Золотая семечка подсолнечное рафинированное 1л,144.99,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,144.99
3980,Масло Золотая Семечка подсолнечное рафинированное 500мл,67.99,500 мл,sunflower_oil,Pyaterochka,,,,,500.0,135.98
3981,Масло подсолнечное Слобода рафинированное 1.8л,267.99,1.8 л,sunflower_oil,Pyaterochka,,,,,1800.0,148.88333333333333
3982,Масло Селяночка подсолнечное рафинированное дезодорированное 1л,144.99,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,144.99
3984,Масло Селяночка подсолнечное нерафинированное 650мл,123.99,650 мл,sunflower_oil,Pyaterochka,,,,,650.0,190.75384615384613
3985,Масло подсолнечное Олейна рафинированное дезодорированное 1 сорт 2л,278.99,2 л,sunflower_oil,Pyaterochka,,,,,2000.0,139.495
3986,Масло подсолнечное Слобода с добавлением оливкового 1л,160.15,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,160.15
3989,Масло Mr. Ricco подсолнечное рафинированное дезодорированное 1л,159.99,1 л,sunflower_oil,Pyaterochka,,,,,1000.0,159.99
3992,Масло Global Village Selection подсолнечное с добавлением оливкового 870мл,179.99,870 мл,sunflower_oil,Pyaterochka,,,,,870.0,206.88505747126436
3994,Масло Altrero Almond подсолнечное рафинированное с добавлением миндального 810мл,166.99,810 мл,sunflower_oil,Pyaterochka,,,,,810.0,206.1604938271605
4774,Вода Красная цена негазированная 5л,69.99,5 л,water,Pyaterochka,,,,,5000.0,13.997999999999998
4776,Вода артезианская Societe Minerale питьевая негазированная 5л,89.99,5 л,water,Pyaterochka,,,,,5000.0,17.998
4779,Вода питьевая Сенежская негазированная 1.5л,39.99,1.5 л,water,Pyaterochka,,,,,1500.0,26.66
4781,Вода Honey Kid негазированная для детей 0+ мес. 5л,109.99,5 л,water,Pyaterochka,,,,,5000.0,21.998
4785,Вода Святой источник природная негазированная 5л,144.99,5 л,water,Pyaterochka,,,,,5000.0,28.998000000000005
4786,Вода Шишкин лес питьевая негазированная 5л,149.99,5 л,water,Pyaterochka,,,,,5000.0,29.998
4788,Вода Пилигрим минеральная питьевая столовая негазированная 1.5л,44.99,1.5 л,water,Pyaterochka,,,,,1500.0,29.993333333333332
4790,Вода Святой источник негазированная 1.5л,61.99,1.5 л,water,Pyaterochka,,,,,1500.0,41.32666666666667
4792,Вода ФрутоНяня детская негазированная с 0 мес. 330мл,32.99,330 мл,water,Pyaterochka,,,,,330.0,99.96969696969697
4793,Вода Черноголовка артезианская негазированная 2.5л,82.99,2.5 л,water,Pyaterochka,,,,,2500.0,33.196
4794,Вода ФрутоНяня негазированная с 0 мес. 1.5л,50.99,1.5 л,water,Pyaterochka,,,,,1500.0,33.99333333333333
4795,Вода Красная цена питьевая негазированная 1.5 л,24.99,1.5 л,water,Pyaterochka,,,,,1500.0,16.659999999999997
4798,Вода Святой Источник Светлячок негазированная 5л,133.99,5 л,water,Pyaterochka,,,,,5000.0,26.798000000000002
4800,Вода Шишкин лес питьевая негазированная 1.75л,69.99,1.75 л,water,Pyaterochka,,,,,1750.0,39.99428571428571
4802,Вода Шишкин Лес питьевая негазированная 1л,52.99,1 л,water,Pyaterochka,,,,,1000.0,52.99
4806,Вода Пилигрим минеральная негазированная 0.5л,31.99,500 мл,water,Pyaterochka,,,,,500.0,63.98
4807,Вода Societe Minerale негазированная 1.5л,39.99,1.5 л,water,Pyaterochka,,,,,1500.0,26.66
4809,Вода Архыз Вита горная для детей старше 3-х лет минеральная негазированная 5л,109.99,5 л,water,Pyaterochka,,,,,5000.0,21.998
4811,Вода Святой источник Светлячок артезианская негазированная в ассортименте 330мл,37.99,350 мл,water,Pyaterochka,,,,,330.0,115.12121212121212
4814,Вода Святой источник негазированная 1л,57.99,1 л,water,Pyaterochka,,,,,1000.0,57.99
4815,Вода Святой источник негазированная 0.5л,44.99,500 мл,water,Pyaterochka,,,,,500.0,89.98
4819,Вода Societe Minerale лимонная негазированная 0.5л,46.99,500 мл,water,Pyaterochka,,,,,500.0,93.98
4822,Вода Святой источник Спорт негазированная 750мл,63.99,750 мл,water,Pyaterochka,,,,,750.0,85.32000000000001
4825,Вода Societe Minerale Originale негазированная 0.5л,29.99,500 мл,water,Pyaterochka,,,,,500.0,59.98
4830,Вода питьевая Сенежская негазированная 0.5л,29.99,500 мл,water,Pyaterochka,,,,,500.0,59.98
4833,Вода Святой источник Спортик артезианская йод-калиевая негазированная 0.33л,38.99,330 мл,water,Pyaterochka,,,,,330.0,118.15151515151516
4836,Вода Арктик природная питьевая негазированная 2л,74.99,2 л,water,Pyaterochka,,,,,2000.0,37.495
4837,Вода Honey Kid негазированная с 0 мес. 1.5л,46.99,1.5 л,water,Pyaterochka,,,,,1500.0,31.326666666666668
4839,Вода Шишкин лес Спорт негазированная 400мл,52.99,400 мл,water,Pyaterochka,,,,,400.0,132.47500000000002
4844,Вода Шишкин лес Спорт питьевая негазированная 1л,73.99,1 л,water,Pyaterochka,,,,,1000.0,73.99
4846,Вода Архыз Горная детская природная питьевая детская столовая негазированная 1.5л,63.99,1.5 л,water,Pyaterochka,,,,,1500.0,42.660000000000004
4847,Вода Baikal 430м природная негазированная 450мл,73.99,450 мл,water,Pyaterochka,,,,,450.0,164.42222222222222
4850,Вода Baikal 430м Глубинная негазированная 0.85л,127.99,850 мл,water,Pyaterochka,,,,,850.0,150.57647058823528
4851,Вода Aqua Minerale Active малина негазированная 0.5л,79.99,500 мл,water,Pyaterochka,,,,,500.0,159.98
4852,Вода Aqua Minerale негазированная 1л,73.99,1 л,water,Pyaterochka,,,,,1000.0,73.99
4858,Вода Aqua Minerale негазированная 0.5л,68.99,500 мл,water,Pyaterochka,,,,,500.0,137.98
5545,Йогурт Растишка яблоко-груша с печеньем в шоколаде 3% 118г,63.99,118 г,yogurt,Pyaterochka,118.0,542.2881355932203,,,,
5560,Йогурт Растишка Клубничный пломбир 2.8% 190г,78.99,190 мл,yogurt,Pyaterochka,190.0,415.7368421052631,,,190.0,415.7368421052631
5566,Йогурт ФрутоНяня Малина с 8 мес. 2.5% БЗМЖ 200г,49.99,200 г,yogurt,Pyaterochka,200.0,249.95000000000002,,,,
5567,"Йогурт ФрутоНяня Клубника, банан с 8 мес. 2.5% БЗМЖ 200г",49.99,200 г,yogurt,Pyaterochka,200.0,249.95000000000002,,,,
5575,Йогурт Тёма малина-шиповник с 8 мес. 2.8% 210г,50.99,210 мл,yogurt,Pyaterochka,210.0,242.8095238095238,,,210.0,242.8095238095238
5584,Йогурт Тема банан-земляника 2.8% 210г,50.99,210 мл,yogurt,Pyaterochka,210.0,242.8095238095238,,,210.0,242.8095238095238
5598,Йогурт Растишка Клубника со злаковым драже в шоколаде 3% 115г,68.99,115 г,yogurt,Pyaterochka,115.0,599.9130434782608,,,,
5664,Йогурт Растишка со вкусом земляничного мороженого 2.6% 70г,54.99,70 г,yogurt,Pyaterochka,70.0,785.5714285714286,,,,
5696,Йогурт Растишка Малина-банан с 3 лет 2.6% 70г,54.99,70 г,yogurt,Pyaterochka,70.0,785.5714285714286,,,,
5724,Молоко ультрапастеризованное Агуша детское 3.2% с 3 лет 950г,154.99,925 мл,milk,Pyaterochka,950.0,163.14736842105265,,,925.0,167.55675675675678
5742,Молоко стерилизованное Агуша детское 2.5% с 8 месяцев 200мл,52.99,200 мл,milk,Pyaterochka,,,,,200.0,264.95000000000005
5758,Молоко стерилизованное Агуша детское  3.2% с 3 лет 500г,94.99,487 мл,milk,Pyaterochka,500.0,189.98,,,487.0,195.0513347022587
5764,Молоко Ухтышки ультрапастеризованное для питания детей 3.2% 200мл,29.99,200 мл,milk,Pyaterochka,,,,,200.0,149.95
5766,Молоко ЭкоНива детское ультрапастеризованное 3.2% БЗМЖ 200мл,36.99,200 мл,milk,Pyaterochka,,,,,200.0,184.95000000000002
