,name,price,pricing_unit,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1260,Йогурт Чудо Клубника-земляника 2% 290г,79.99,290 г,yogurt,Pyaterochka,290.0,275.8275862068965,,,,
1265,Йогурт Даниссимо Фантазия со вкусом клубники-молочного шоколада 6.9% 105г,73.99,105 г,yogurt,Pyaterochka,105.0,704.6666666666666,,,,
1278,Йогурт АктиБио чернослив 2.9% 130г,52.99,130 г,yogurt,Pyaterochka,130.0,407.61538461538464,,,,
1282,Йогурт Простоквашино Греческий 2% 135г,58.99,135 г,yogurt,Pyaterochka,135.0,436.962962962963,,,,
1283,Йогурт АктиБио отруби и злаки 2.9% 130г,49.99,130 г,yogurt,Pyaterochka,130.0,384.53846153846155,,,,
1289,Йогурт АктиБио клубника 2.9% 130г,49.99,130 г,yogurt,Pyaterochka,130.0,384.53846153846155,,,,
1290,Йогурт Фругурт клубника-малина 2% 240г,59.99,240 г,yogurt,Pyaterochka,240.0,249.95833333333334,,,,
1296,Йогурт АктиБио натуральный 3.5% 130г,49.99,130 г,yogurt,Pyaterochka,130.0,384.53846153846155,,,,
1303,Йогурт Царка земляника 3.5% 400г,85.99,400 г,yogurt,Pyaterochka,400.0,214.975,,,,
1313,Йогурт Для всей семьи со вкусом земляники 1% 270г,44.99,270 мл,yogurt,Pyaterochka,270.0,166.62962962962962,,,270.0,166.62962962962962
1324,Йогурт Простоквашино с черникой двухслойный термостатный 3.4% БЗМЖ 160г,49.99,160 г,yogurt,Pyaterochka,160.0,312.43750000000006,,,,
1331,Йогурт Epica Crispy фисташки 4.8% 140г,74.99,140 г,yogurt,Pyaterochka,140.0,535.6428571428571,,,,
1338,Йогурт Царка манго 3.5% 400г,85.99,400 г,yogurt,Pyaterochka,400.0,214.975,,,,
1352,Йогурт Epica Crispy карамель 4.8% 140г,78.99,140 г,yogurt,Pyaterochka,140.0,564.2142857142857,,,,
1365,Йогурт Царка вишня 3.5% 400г,85.99,400 г,yogurt,Pyaterochka,400.0,214.975,,,,
1367,Йогурт Сарафаново со вкусом банана 1% БЗМЖ 260г,47.99,260 г,yogurt,Pyaterochka,260.0,184.5769230769231,,,,
1374,Йогурт Вкуснотеево с черникой 2% 690г,139.99,690 г,yogurt,Pyaterochka,690.0,202.8840579710145,,,,
1375,Йогурт Коломенский Черника с малиной и манго 5% 170г,72.99,170 г,yogurt,Pyaterochka,170.0,429.35294117647055,,,,
1377,Йогурт Из Села Удоево черника-ежевика 2.5% 260мл,47.99,260 мл,yogurt,Pyaterochka,,,,,260.0,184.5769230769231
1380,Йогурт Сарафаново со вкусом черники 1% БЗМЖ 260г,47.99,260 г,yogurt,Pyaterochka,260.0,184.5769230769231,,,,
1381,Йогурт Teos греческий клубника 2% 140г,63.99,140 г,yogurt,Pyaterochka,140.0,457.07142857142856,,,,
1383,Йогурт Lactica греческий натуральный 4% 120г,59.99,120 г,yogurt,Pyaterochka,120.0,499.9166666666667,,,,
1384,Йогурт ЦарКа Киви 3.5% 400г,85.99,400 мл,yogurt,Pyaterochka,400.0,214.975,,,400.0,214.975
1385,Йогурт Viola Laplandia Сливочный с малиной и маскарпоне 7.2% 180г,78.99,180 г,yogurt,Pyaterochka,180.0,438.8333333333333,,,,
1387,Йогурт Простоквашино термостатный 4% 160г,49.99,160 мл,yogurt,Pyaterochka,160.0,312.43750000000006,,,160.0,312.43750000000006
1389,Йогурт Для всей семьи со вкусом абрикоса 1% 270г,44.99,270 г,yogurt,Pyaterochka,270.0,166.62962962962962,,,,
1393,Йогурт Вкус & Польза греческий с малиной 3% 190г,105.99,190 г,yogurt,Pyaterochka,190.0,557.8421052631579,,,,
1394,Йогурт Коломенский Питайя-манго-чиа 5% 170г,72.99,170 г,yogurt,Pyaterochka,170.0,429.35294117647055,,,,
1395,Йогурт Viola Laplandia Крем-брюле сливочный 7% 180г,78.99,180 г,yogurt,Pyaterochka,180.0,438.8333333333333,,,,
