category_code,name,price,uom,supermarket
MENU51,Ba chỉ bò Úc Kiaora cắt lát 375g,134900.0,KH,Winmart
MENU51, Cam Ai Cập,79900.0,KG,Winmart
MENU51,Gạo Ngọc Nương ST 25 đặc sản 3Kg ,123000.0,G1,Winmart
MENU51,Thùng 24 lon bia Red Ruby lon 330ml,235000.0,T,Winmart
MENU51,Rau ngót  WinEco gói 300g,15900.0,G1,Winmart
MENU0133,Sữa tươi tiệt trùng Meiji không Lactose 946ml,77000.0,G1,Winmart
MENU0133,Lốc 4 hộp sữa tiệt trùng ít đường Nutimilk  100% Newzealand 180ml,31800.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa Nutimilk có đường 100% sữa Newzealand 180ml,31800.0,G4,Winmart
MENU0133,Sữa tiệt trùng Cô gái Hà Lan có đường lốc 4 hộp x 180ml,33900.0,G4,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng TH True Milk có đường 180ml,462000.0,T,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng Vinamilk không đường 180ml,396000.0,T,Winmart
MENU0133,Sữa tiệt trùng Cô gái Hà Lan không đường hộp 1lít,35900.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng nguyên kem Meadow Fresh hộp 1L,53500.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng Vinamilk không đường hộp 1 lít,37900.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng nguyên chất TH True Milk hộp 1 lít,40200.0,HOP,Winmart
MENU0133,Sữa thanh trùng Dalat Milk không đường hộp 180ml,12500.0,HOP,Winmart
MENU0133,Sữa thanh trùng Dalat Milk không đường 950ml,47600.0,HOP,Winmart
MENU0133,Sữa tươi thanh trùng Dalat Milk có đường hộp 450ml,26700.0,HOP,Winmart
MENU0133,Sữa tươi thanh trùng sô cô la Dalat Milk có đường hộp 180ml,12500.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk có đường hộp 1L,40200.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk ít đường hộp 1 lít,40200.0,HOP,Winmart
MENU0133,Thùng 48 hộp sữa tuoi tiệt trùng ít đường Vinamilk 180ml,395900.0,T,Winmart
MENU0133,Sữa tiệt trùng Vinamilk có đường túi 220ml,7400.0,G1,Winmart
MENU0133,Sữa thanh trùng nguyên chất TH Milk 950ml,45700.0,HOP,Winmart
MENU0133,Sữa tiệt trùng Vinamilk không đường túi 220ml,7400.0,G1,Winmart
MENU0133,Sữa tiệt trùng Vinamilk hương dâu gói 220ml,7400.0,G1,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng vị dâu Cô gái Hà Lan 180ml,405600.0,T,Winmart
MENU0133,Sữa tiệt trùng vị sô cô la Active 20+ Cô Gái Hà Lan lốc 4 hộp x 180ml,33900.0,G4,Winmart
MENU0133,Sữa tiệt trùng Cô gái Hà Lan có đường hộp 1L,35900.0,HOP,Winmart
MENU0133,Thùng 48 túi sữa tươi tiệt trùng Cô gái Hà Lan không đường 180ml,369600.0,T,Winmart
MENU0133,Thùng 48 túi sữa tươi tiệt trùng Cô gái Hà Lan có đường 180ml,369600.0,T,Winmart
MENU0133,Sữa tiệt trùng Active 20+ hương dâu Cô gái Hà Lan gói 220ml,6800.0,G1,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng Dutch Lady không đường 180ml,405600.0,T,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk ít đường gói 220ml,9400.0,G1,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk có đường gói 220ml,9400.0,G1,Winmart
MENU0133,Sữa tươi tiệt trùng nguyên chất TH True Milk thùng 48 gói x 220ml,451200.0,T,Winmart
MENU0133,Kem tiệt trùng (Whipping Cream) Paysan Breton hộp 200ml,75000.0,HOP,Winmart
MENU0133,Kem sữa có đường tiệt trùng dạng xịt Paysan Breton chai 250g,145000.0,CHA,Winmart
MENU0133,Kem sữa tươi whipping cream Anchor hộp 1L,189900.0,HOP,Winmart
MENU0133,Kem sữa tươi đánh tiệt trùng Anchor hộp 250ml,75100.0,HOP,Winmart
MENU0133,Sữa dinh dưỡng Có Đường Vinamilk ADM - Lốc 4 Hộp 110ml,19100.0,G4,Winmart
MENU0133,Sữa tiệt trùng Vinamilk Flex không đường hộp 1L,37400.0,HOP,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng hương dâu Vinamilk 110ml,20900.0,G4,Winmart
MENU0133,VNM Sữa tươi tiệt trùng socola 180ml,396000.0,T,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng sô cô la Vinamilk 110ml,20900.0,G4,Winmart
MENU0133,Sữa tươi tiệt trùng Vinamilk có đường hộp 1 lít,37900.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng Vinamilk có đường lốc 4 hộp x 110ml,20900.0,G4,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng Vinamilk có đường 180ml,396000.0,T,Winmart
MENU0133,VINAMILK Sữa tươi tiệt trùng h.dâu 180ml,396000.0,T,Winmart
MENU0133,Sữa tươi tiệt trùng TH True Milk ít đường 110ml,25600.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng THTRUE Milk Hương Socola 110ml,25600.0,G4,Winmart
MENU0133,Sữa tươi tiệt trùng sô cô la nguyên chất TH True Milk lốc 4 hộp x 180ml,38500.0,G4,Winmart
MENU0133,Sữa tiệt trùng TH True Milk có đường lốc 4 hộp x 110ml,25600.0,G4,Winmart
MENU0133,Sữa tươi tiệt trùng THTRUE Milk Hương Dâu 110ml*4,25600.0,G4,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng TH True Milk ít đường 180ml,462000.0,T,Winmart
MENU0133,Sữa tươi tiệt trùng ít béo Meadow Fresh hộp 1L,49800.0,HOP,Winmart
MENU0133,Sữa tươi tiệt trùng hương dâu TH True Milk lốc 4 hộp x 180ml,38500.0,G4,Winmart
MENU0133,Sữa tươi tiệt trùng Meadow Fresh giàu canxi hộp 1L,58800.0,HOP,Winmart
MENU0133,Thùng 48 hộp sữa tươi tiệt trùng nguyên chất TH True Milk 180ml,462000.0,T,Winmart
MENU0133,Lốc 6 hộp sữa tiệt trùng Binggrae hương dâu 200ml,111000.0,G6,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 có đường 180ml,33500.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng Nutimilk100 ít đường 180ml ,34100.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi thanh trùng VinaMilk chứa tổ yến 180ml,53700.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng ít đường Dalat milk 110ml,23700.0,G4,Winmart
MENU0133,Sữa tươi tiệt trùng DALATMILK ít đường 220ml,9400.0,G1,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng có đường Dalat Milk 110ml,23700.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng ít đường Dalat Milk hộp 180ml,36500.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng DALATMILK có đường 180ml,36500.0,G4,Winmart
MENU0133,Lốc 4 sữa tươi tiệt trùng vị tự nhiên TH true MILK Hilo 180ml,43500.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng nguyên chất THtrue Milk 110ml,25600.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng có đường Vinamilk Green Farm 180ml,40500.0,G4,Winmart
MENU0133,Lốc 4 hộp sữa tươi tiệt trùng ít đường Vinamilk Green Farm 110ml,28000.0,G4,Winmart
