,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
6217,"Чай черный AHMAD TEA Earl Grey байховый листовой ароматизированный, 100г",292.69,100г,Lenta,black_tea,100.0,2926.8999999999996,,,,
6218,"Чай черный AHMAD TEA English Breakfast листовой, 100г",292.69,100г,Lenta,black_tea,100.0,2926.8999999999996,,,,
6219,"Чай черный AKBAR Gold цейлонский байховый, среднелистовой, 250г",484.94,250г,Lenta,black_tea,250.0,1939.76,,,,
6220,"Чай черный AHMAD TEA Summer Thyme с чабрецом байховый листовой, 100г",292.69,100г,Lenta,black_tea,100.0,2926.8999999999996,,,,
6221,"Чай черный ПРИНЦЕССА КАНДИ цейлонский, 25пак",78.99,25пак,Lenta,black_tea,,,25.0,3.1595999999999997,,
6222,"Чай зеленый TESS Flirt листовой, 100г",159.49,100г,Lenta,green_tea,100.0,1594.9,,,,
6223,"Чай черный CURTIS Sunny Lemon с ароматом цитрусовых, 20пак",156.49,20пир,Lenta,black_tea,,,20.0,7.8245000000000005,,
6224,"Чай черный RICHARD Lord Grey Цейлонский байховый, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6225,"Чай зеленый CURTIS Fresh Mojito, 20х1,7г",154.99,20пир,Lenta,green_tea,34.0,4558.529411764706,20.0,7.7495,,
6226,"Чай зеленый CURTIS Багама Найтс, 20пир",143.15,20пир,Lenta,green_tea,,,20.0,7.157500000000001,,
6227,"Чай черный CURTIS Isabella Grape с ароматом винограда, 20пак",156.49,20пир,Lenta,black_tea,,,20.0,7.8245000000000005,,
6228,"Чай черный AHMAD TEA Earl Grey с бергамотом байховый листовой, 200г",511.57,200г,Lenta,black_tea,200.0,2557.8500000000004,,,,
6229,"Чай черный AHMAD TEA English Breakfast листовой, 200г",487.39,200г,Lenta,black_tea,200.0,2436.95,,,,
6230,"Чай черный AHMAD TEA Цейлонский Оранж Пеко листовой, 500г",1084.49,500г,Lenta,black_tea,500.0,2168.98,,,,
6231,"Чай черный 365 ДНЕЙ байховый листовой, 200г",105.29,200г,Lenta,black_tea,200.0,526.45,,,,
6232,"Чай черный 365 ДНЕЙ байховый, листовой, 100г",42.1,100г,Lenta,black_tea,100.0,421.00000000000006,,,,
6233,"Чай зеленый ЛЕНТА Молочный Улун Китайский байховый, 25пак",97.99,25пак,Lenta,green_tea,,,25.0,3.9196,,
6234,"Чай черный AKBAR Красно-белая серия Цейлонский байховый, 100пак",325.29,100пак,Lenta,black_tea,,,100.0,3.2529000000000003,,
6235,"Чай черный GREENFIELD Spring Melody, 100пак",466.99,100пак,Lenta,black_tea,,,100.0,4.6699,,
6236,"Чай черный GREENFIELD Classic Breakfast, 100пак",466.99,100пак,Lenta,black_tea,,,100.0,4.6699,,
6237,"Чай зеленый AHMAD TEA Китайский, 25пак",111.57,25пак,Lenta,green_tea,,,25.0,4.4628,,
6239,"Чай зеленый MILFORD Детокс травяной байховый листовой, 20пак",232.63,20пак,Lenta,green_tea,,,20.0,11.631499999999999,,
6240,"Чай зеленый CURTIS Hugo Cocktail, 20х1,8г",154.99,20пак,Lenta,green_tea,36.0,4305.277777777778,20.0,7.7495,,
6241,"Чай черный NEWBY Darjeeling байховый, 100г",1348.42,100г,Lenta,black_tea,100.0,13484.2,,,,
6242,"Чай черный CURTIS Dessert Tea Collection, 30пак",511.57,30саш,Lenta,black_tea,,,30.0,17.052333333333333,,
6243,"Чай черный TESS Pleasure с ароматом тропических фруктов и растительными компонентами байховый, листовой, 200г",358.99,200г,Lenta,black_tea,200.0,1794.95,,,,
6244,"Чай черный TESS Санрайз байховый цейлонский, листовой, 200г",358.99,200г,Lenta,black_tea,200.0,1794.95,,,,
6245,"Чай зеленый 365 ДНЕЙ байховый, 20пак",25.26,20пак,Lenta,green_tea,,,20.0,1.2630000000000001,,
6246,"Чай черный ЛЕНТА с чабрецом байховый, 25пак",94.79,25пак,Lenta,black_tea,,,25.0,3.7916000000000003,,
6248,"Чай черный GREENFIELD Sicilian Citrus с ароматом красного апельсина, 20пир",185.29,20пир,Lenta,black_tea,,,20.0,9.2645,,
6249,"Чай черный AHMAD TEA Классический листовой, 200г",406.39,200г,Lenta,black_tea,200.0,2031.95,,,,
6250,"Чай черный AHMAD TEA Классический, 25пак",122.99,25пак,Lenta,black_tea,,,25.0,4.9196,,
6251,"Чай зеленый GREENFIELD Flying Dragon, 100пак",466.99,100пак,Lenta,green_tea,,,100.0,4.6699,,
6252,"Чай черный RICHARD Royal Ceylon Цейлонский байховый, 25пак",187.36,25саш,Lenta,black_tea,,,25.0,7.494400000000001,,
6253,"Чай черный RICHARD Royal Ceylon Цейлонский байховый, 100пак",422.19,100пак,Lenta,black_tea,,,100.0,4.2219,,
6254,"Чай черный TESS Banana Split, 20пир",136.49,20пир,Lenta,black_tea,,,20.0,6.8245000000000005,,
6255,"Чай черный RICHARD Royal Earl Grey Цейлонский с ароматом бергамота байховый, 100пак",422.19,100пак,Lenta,black_tea,,,100.0,4.2219,,
6256,"Чай черный AHMAD TEA Классический листовой, 500г",1013.68,500г,Lenta,black_tea,500.0,2027.36,,,,
6257,"Чай черный ЛЕНТА с чабрецом байховый, 100пак",263.19,100пак,Lenta,black_tea,,,100.0,2.6319,,
6258,"Чай зеленый RICHARD Royal Green Китайский байховый, 25пак",187.36,25саш,Lenta,green_tea,,,25.0,7.494400000000001,,
6259,"Чай черный RICHARD Royal Ceylon Цейлонский листовой, 90г",207.49,90г,Lenta,black_tea,90.0,2305.4444444444443,,,,
6261,"Чай зеленый TEATONE с ароматом жасмина, 15пак",259.99,15пак,Lenta,green_tea,,,15.0,17.332666666666668,,
6262,"Чай черный TEATONE Индийский, 15пак",389.47,15пак,Lenta,black_tea,,,15.0,25.96466666666667,,
6263,"Чай черный TEATONE с ароматом бергамота, 15пак",272.63,15пак,Lenta,black_tea,,,15.0,18.175333333333334,,
6265,"Чай черный ЛЕНТА с мятой, 25пак",94.79,25пак,Lenta,black_tea,,,25.0,3.7916000000000003,,
6267,"Чай зеленый 365 ДНЕЙ Китайский с ароматом жасмина байховый листовой, 100г",48.42,100г,Lenta,green_tea,100.0,484.20000000000005,,,,
6268,"Чай зеленый МАЙСКИЙ Зеленый, 25пак",85.89,25пак,Lenta,green_tea,,,25.0,3.4356,,
6269,"Чай черный ЛИСМА Индийский байховый, 100пак",259.99,100пак,Lenta,black_tea,,,100.0,2.5999,,
6270,"Чай черный ЛИСМА Индийский байховый, 25пак",72.39,25пак,Lenta,black_tea,,,25.0,2.8956,,
6271,"Чай черный ПРИНЦЕССА КАНДИ Цейлон, 100пак",276.84,100пак,Lenta,black_tea,,,100.0,2.7683999999999997,,
6272,"Чай черный АЗЕРЧАЙ с чабрецом байховый, 25пак",145.29,25пак,Lenta,black_tea,,,25.0,5.811599999999999,,
6273,"Чай черный АЗЕРЧАЙ байховый с чабрецом листовой, 100г",244.29,100г,Lenta,black_tea,100.0,2442.8999999999996,,,,
6274,"Чай черный АЗЕРЧАЙ Букет листовой, 100г",244.29,100г,Lenta,black_tea,100.0,2442.8999999999996,,,,
6275,"Чай черный АЗЕРЧАЙ с ароматом бергамота листовой, 100г",154.73,100г,Lenta,black_tea,100.0,1547.3,,,,
6277,"Чай черный RICHARD Royal English Breakfast байховый, 25пак",187.36,25саш,Lenta,black_tea,,,25.0,7.494400000000001,,
6278,"Чай черный RICHARD Lord Grey Цейлонский с ароматом бергамота и лимона, 
листовой, 90г",207.49,90г,Lenta,black_tea,90.0,2305.4444444444443,,,,
