,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
6417,"Чай зеленый ЧЕРНЫЙ ДРАКОН Молочный улун байховый, листовой, 100г",247.99,100г,Lenta,green_tea,100.0,2479.9,,,,
6422,"Чай черный DILMAH Golden pekoe цейлонский, листовой, 100г",315.78,100г,Lenta,black_tea,100.0,3157.7999999999997,,,,
6423,"Чай черный DILMAH цейлонский со вкусом бергамота и ванили, листовой, 100г",273.69,100г,Lenta,black_tea,100.0,2736.9,,,,
6426,"Чай зеленый ЧЕРНЫЙ ДРАКОН с жасмином байховый, листовой, 100г",140.99,100г,Lenta,green_tea,100.0,1409.9,,,,
6427,Чай черный АЗЕРЧАЙ Premium collection taditional байховый к/уп,146.31,25пак,Lenta,black_tea,,,25.0,5.8524,,
6428,"Чай зеленый ЧАЙНАЯ ПЛАНТАЦИЯ Улун абрикосовый, листовой, 100г",178.99,100г,Lenta,green_tea,100.0,1789.9,,,,
6429,"Чай зеленый ЧАЙНАЯ ПЛАНТАЦИЯ Улун манговый, листовой, 100г",178.99,100г,Lenta,green_tea,100.0,1789.9,,,,
6433,"Чай зеленый 365 ДНЕЙ байховый, 100пак",102.99,100пак,Lenta,green_tea,,,100.0,1.0299,,
6434,"Чай зеленый WILLIAMS Green queen, 25пак",192.69,25пак,Lenta,green_tea,,,25.0,7.7076,,
6435,"Чай черный WILLIAMS Royal Ceylon, 25пак",192.69,25пак,Lenta,black_tea,,,25.0,7.7076,,
6436,"Чай черный НЕОБЫЧАЙНЫЙ цейлонский, листовой, 400г",480.99,400г,Lenta,black_tea,400.0,1202.475,,,,
6437,"Чай зеленый TEATALE Молочный Улун китайский, листовой, 100г",378.99,100г,Lenta,green_tea,100.0,3789.9,,,,
6438,"Чай черный НЕОБЫЧАЙНЫЙ Цейлонский с ароматом бергамота, крупнолистовой, 200г",328.49,200г,Lenta,black_tea,200.0,1642.45,,,,
6439,"Чай черный AHMAD TEA Викэнд Коллекшн, 60пир",670.99,60пак,Lenta,black_tea,,,60.0,11.183166666666667,,
6440,"Чай черный AHMAD TEA Персик, маракуйя, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6441,"Чай черный HYSON Маракуйя цейлонский c ароматом маракуйи и растительными компонентами, листовой, 100г",336.89,100г,Lenta,black_tea,100.0,3368.9,,,,
6442,"Чай черный HYSON Фруктовая фантазия цейлонский c ароматом вишни и растительными компонентами, листовой, 100г",336.89,100г,Lenta,black_tea,100.0,3368.9,,,,
6443,"Чай зеленый HYSON с саусепом и растительными компонентами, крупнолистовой, 100г",336.89,100г,Lenta,green_tea,100.0,3368.9,,,,
6444,"Чай черный HYSON Саусеп цейлонский c ароматом саусепа и растительными компонентами, листовой, 100г",336.89,100г,Lenta,black_tea,100.0,3368.9,,,,
6445,"Чай черный ЛЕНТА PREMIUM Ассам, 20пир",263.19,20пир,Lenta,black_tea,,,20.0,13.1595,,
6446,"Чай зеленый ЛЕНТА PREMIUM Имбирный апельсин, 20пир",263.19,20пир,Lenta,green_tea,,,20.0,13.1595,,
6447,"Чай зеленый ЛЕНТА PREMIUM Молочный улун, 20пир",263.19,20пир,Lenta,green_tea,,,20.0,13.1595,,
6448,"Чай черный ЛЕНТА PREMIUM с чабрецом, 20пир",263.19,20пир,Lenta,black_tea,,,20.0,13.1595,,
6449,"Чай черный ЛЕНТА PREMIUM Эрл Грей, 20пир",263.19,20пир,Lenta,black_tea,,,20.0,13.1595,,
6450,"Чай черный ЛЕНТА PREMIUM с чабрецом, 400г",578.99,400г,Lenta,black_tea,400.0,1447.4750000000001,,,,
6451,"Чай зеленый ЛЕНТА PREMIUM Молочный улун, 400г",578.99,400г,Lenta,green_tea,400.0,1447.4750000000001,,,,
6452,"Чай черный ЛЕНТА PREMIUM Эрл Грей, 400г",452.69,400г,Lenta,black_tea,400.0,1131.7250000000001,,,,
6455,"Чай черный ЛЕНТА PREMIUM Английский завтрак, 400г",452.69,400г,Lenta,black_tea,400.0,1131.7250000000001,,,,
6456,"Чай зеленый GREENFIELD Оолонг Tropical Tarragon, 25пак",152.49,25пак,Lenta,green_tea,,,25.0,6.099600000000001,,
6457,"Чай черный TESS Санрайз байховый цейлонский, 25пак",115.78,25пак,Lenta,black_tea,,,25.0,4.6312,,
6458,"Чай черный AKBAR Граф Грей байховый мелкий с ароматом бергамота, 100пак",373.68,100пак,Lenta,black_tea,,,100.0,3.7368,,
6459,"Чай черный ШАХ Gold байховый цейлонский, листовой, 200г",614.79,200г,Lenta,black_tea,200.0,3073.95,,,,
6460,"Чай черный ПРИНЦЕССА КАНДИ Медиум, 250г",244.2,250г,Lenta,black_tea,250.0,976.8,,,,
6461,"Чай зеленый GREENFIELD Milky oolong, 25пак",142.49,25пак,Lenta,green_tea,,,25.0,5.6996,,
6462,Чай черный АЗЕРЧАЙ Байховый с аром. бергамота к/уп,355.78,250г,Lenta,black_tea,250.0,1423.12,,,,
6463,Чай черный HILLTOP Цейлонское утро к/уп,276.84,50г,Lenta,black_tea,50.0,5536.799999999999,,,,
6464,"Чай зеленый TESS Стайл байховый цейлонский, 25пак",108.49,25пак,Lenta,green_tea,,,25.0,4.3396,,
6465,"Чай черный ТРИ ДРУЖНЫХ СЛОНА, 100пак",325.26,100пак,Lenta,black_tea,,,100.0,3.2525999999999997,,
6466,"Чай зеленый SHENNUN Китайский с жасмином, 200г",205.99,200г,Lenta,green_tea,200.0,1029.95,,,,
6467,"Чай черный SHENNUN Китайский с бергамотом, 200г",325.26,200г,Lenta,black_tea,200.0,1626.3,,,,
6468,"Чай зеленый SHENNUN Китайский молочный Гу Шу, 200г",325.26,200г,Lenta,green_tea,200.0,1626.3,,,,
6469,"Чай черный RICHARD Royal Lemon арома, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6470,"Чай зеленый CURTIS Fresh Green, 25пак",160.99,25саш,Lenta,green_tea,,,25.0,6.4396,,
6471,"Чай черный RICHARD Royal English Breakfast листовой, 180г",437.89,180г,Lenta,black_tea,180.0,2432.722222222222,,,,
6472,"Чай черный CURTIS Pleasure Time арома, 25пак",135.49,25саш,Lenta,black_tea,,,25.0,5.4196,,
6473,"Чай черный RICHARD Royal Kenya листовой, 180г",437.89,180г,Lenta,black_tea,180.0,2432.722222222222,,,,
6474,"Чай черный RICHARD Royal Goji&Wild Strawberry арома, 25пак",187.36,25саш,Lenta,black_tea,,,25.0,7.494400000000001,,
6475,"Чай зеленый CURTIS Fantasy Peach арома, 25пак",163.99,25саш,Lenta,green_tea,,,25.0,6.5596000000000005,,
6481,"Чай черный BERNLEY Инглиш Классик Цейлонский, листовой, 100г",211.57,100г,Lenta,black_tea,100.0,2115.7,,,,
6482,"Чай зеленый SHENNUN Традиционный, 25пак",97.99,25пак,Lenta,green_tea,,,25.0,3.9196,,
6483,"Чай зеленый SHENNUN с ароматом жасмина, 25пак",96.99,25пак,Lenta,green_tea,,,25.0,3.8796,,
6484,"Чай черный ЗЕЛЕНАЯ ПАНДА Праздничный, листовой, 100г",270.49,,Lenta,black_tea,100.0,2704.9,,,,
6487,"Чай черный АЗЕРЧАЙ Армуду Букет, 100пак",324.49,100пак,Lenta,black_tea,,,100.0,3.2449,,
6488,"Чай черный АЗЕРЧАЙ Армуду с ароматом бергамота, 100пак",511.57,100пак,Lenta,black_tea,,,100.0,5.1157,,
6489,"Чай зеленый АЗЕРЧАЙ Армуду, 100пак",511.57,100пак,Lenta,green_tea,,,100.0,5.1157,,
6492,"Чай черный TEATALE Мелодия Рождества Снеговик, листовой, 50г",135.49,50г,Lenta,black_tea,50.0,2709.8,,,,
6495,"Чай черный ЗАВТРАК ИМПЕРАТОРА байховый цейлонский, листовой, 100г",163.19,100г,Lenta,black_tea,100.0,1631.8999999999999,,,,
6496,"Чай зеленый ЗОЛОТАЯ ЧАША Китайский байховый, 20пак",52.69,20пак,Lenta,green_tea,,,20.0,2.6345,,
6497,"Чай черный ЗОЛОТАЯ ЧАША Индийский байховый, 20пак",59.99,20пак,Lenta,black_tea,,,20.0,2.9995000000000003,,
6498,"Чай черный ЗОЛОТАЯ ЧАША Крепкий байховый, 25пак",64.49,25пак,Lenta,black_tea,,,25.0,2.5795999999999997,,
6499,"Чай зеленый ЗОЛОТАЯ ЧАША Китайский байховый, 100пак",216.49,100пак,Lenta,green_tea,,,100.0,2.1649000000000003,,
6500,"Чай черный ЗОЛОТАЯ ЧАША Малина байховый, 20пак",59.99,20пак,Lenta,black_tea,,,20.0,2.9995000000000003,,
6501,"Чай черный ЗОЛОТАЯ ЧАША Бергамот байховый, 20пак",63.15,20пак,Lenta,black_tea,,,20.0,3.1574999999999998,,
6502,"Чай черный ЗОЛОТАЯ ЧАША Индийский байховый, 90пак",187.36,90пак,Lenta,black_tea,,,90.0,2.081777777777778,,
6503,"Чай черный ЗОЛОТАЯ ЧАША байховый, 100пак",191.49,100пак,Lenta,black_tea,,,100.0,1.9149,,
6504,"Чай черный ЗОЛОТАЯ ЧАША Клубника байховый, 20пак",62.99,20пак,Lenta,black_tea,,,20.0,3.1495,,
6505,"Чай зеленый ЗОЛОТАЯ ЧАША Лимон байховый, 20пак",57.89,20пак,Lenta,green_tea,,,20.0,2.8945,,
6507,"Чай зеленый BASILUR Букет Кремовая фантазия, листовой, 100г",324.49,100г,Lenta,green_tea,100.0,3244.9,,,,
6508,"Чай зеленый BASILUR Молочный улун байховый, 100пак",588.99,100пак,Lenta,green_tea,,,100.0,5.8899,,
6509,"Чай черный RICHE NATUR Bohemia с ароматом бергамота и айвы, листовой, 100г",729.47,100г,Lenta,black_tea,100.0,7294.700000000001,,,,
6510,"Чай черный RICHE NATUR Felicity с цукатами ананаса и ароматом земляники, листовой, 100г",729.47,100г,Lenta,black_tea,100.0,7294.700000000001,,,,
6511,"Чай черный RICHE NATUR Paradise с цукатами и ароматом манго и карамболы, листовой, 100г",729.47,100г,Lenta,black_tea,100.0,7294.700000000001,,,,
6512,"Чай зеленый RICHARD Royal Strawberry&Aloe Vera арома, 25пак",187.36,25пак,Lenta,green_tea,,,25.0,7.494400000000001,,
6513,"Чай черный RICHARD Royal Berries Selection арома, 25пак",187.36,25пак,Lenta,black_tea,,,25.0,7.494400000000001,,
6514,"Чай черный МАЙСКИЙ Сердце цейлона, 25пак",90.99,25пак,Lenta,black_tea,,,25.0,3.6395999999999997,,
6515,"Чай черный AKBAR Садовые фрукты ароматизированный с измельченными натуральными компонентами, 100пак",395.99,100пак,Lenta,black_tea,,,100.0,3.9599,,
6516,"Чай зеленый TEATONE с ароматом мяты, 15пак",215.49,15пак,Lenta,green_tea,,,15.0,14.366000000000001,,
6517,"Чай черный CURTIS Tender Moments, 100саш",463.49,100саш,Lenta,black_tea,,,100.0,4.6349,,
6518,"Чай черный CURTIS Perfect Brunch, 100саш",467.49,100саш,Lenta,black_tea,,,100.0,4.6749,,
6519,"Чай черный TEATALE Сочные фрукты с ароматом бергамота, 100г",353.99,100г,Lenta,black_tea,100.0,3539.9,,,,
6520,"Чай черный TEATALE Сочные фрукты с ароматом апельсина и манго, 100г",347.39,100г,Lenta,black_tea,100.0,3473.9,,,,
6521,"Чай черный TEATALE Сочные фрукты с ароматом ананаса, 100г",347.36,100г,Lenta,black_tea,100.0,3473.6000000000004,,,,
6522,"Чай черный CURTIS Tender Moments арома, 25пак",163.99,25пак,Lenta,black_tea,,,25.0,6.5596000000000005,,
6523,"Чай черный МАЙСКИЙ Сердце цейлона цейлонский, листовой, 100пак",346.49,100пак,Lenta,black_tea,,,100.0,3.4649,,
6524,"Чай черный TESS Хай Цейлон, 100пак",446.31,100пак,Lenta,black_tea,,,100.0,4.4631,,
6527,"Чай зеленый ЛЕНТА с экстрактом мяты, 100пак",270.49,100пак,Lenta,green_tea,,,100.0,2.7049000000000003,,
6528,"Чай зеленый ЛЕНТА с экстрактом мяты, 25пак",97.99,25пак,Lenta,green_tea,,,25.0,3.9196,,
6529,"Чай зеленый ЛЕНТА Молочный улун, 25пак",97.99,25пак,Lenta,green_tea,,,25.0,3.9196,,
6530,"Чай черный TESS High ceylon, 25пак",136.84,25пак,Lenta,black_tea,,,25.0,5.4736,,
6531,"Чай черный и зеленый CURTIS Colour Tea Set Ассорти из 9 вкусов с цветными чаями, 54пак",603.99,54пак,Lenta,black_tea,,,54.0,11.185,,
6532,"Чай черный ЛЕНТА Русский музей Земляника со сливками крупный листовой, 400г",526.39,400г,Lenta,black_tea,400.0,1315.975,,,,
6533,"Чай зеленый CURTIS Sweet Fusion арома, 25пак",146.31,25пак,Lenta,green_tea,,,25.0,5.8524,,
6537,"Чай черный RICHARD Energy Tea, 20пак",187.36,20пак,Lenta,black_tea,,,20.0,9.368,,
6538,"Чай зеленый RICHARD Digestive, 30г",187.36,30г,Lenta,green_tea,30.0,6245.333333333334,,,,
6539,"Чай зеленый RICHARD Relax, 30г",187.36,30г,Lenta,green_tea,30.0,6245.333333333334,,,,
6541,"Чай черный NADIN Гранат, розмарин с ароматом граната, листовой, 100г",209.99,100г,Lenta,black_tea,100.0,2099.9,,,,
6542,"Чай черный МАСТЕР ТИМ Все в шоколаде, 24пак",216.49,48г,Lenta,black_tea,48.0,4510.208333333334,24.0,9.020416666666668,,
6543,"Чай черный RICHARD Royal Postcards Tea Assortment Зима ассорти, 17,1г",201.99,"17,1г",Lenta,black_tea,17.1,11812.280701754386,,,,
6544,"Чай черный CURTIS Summer Vibe c чабрецом, мятой и ароматом цитрусовых,  100пак",299.99,100пак,Lenta,black_tea,,,100.0,2.9999000000000002,,
6545,"Чай черный WILLIAMS Black Crystal Премиум Пеко байховый цейлонский элитный, листовой, 100г",216.49,100г,Lenta,black_tea,100.0,2164.9,,,,
6546,"Чай черный WILLIAMS Violet Crystal байховый листовой с лепестками василька, шиповником и ароматом и кусочками манго, листовой, 100г",216.49,100г,Lenta,black_tea,100.0,2164.9,,,,
6547,"Чай черный WILLIAMS Azure Crystal цейлонский с лепестками подсолнечника и натуральными кусочками земляники, листовой, 100г",216.49,100г,Lenta,black_tea,100.0,2164.9,,,,
6548,"Чай черный WILLIAMS Purple Crystal байховый листовой с лепестками календулы и ароматом тропических фруктов, листовой, 100г",216.49,100г,Lenta,black_tea,100.0,2164.9,,,,
6549,"Чай черный WILLIAMS Assam Crystal индийский ассам с высоким содержанием чайных почек, листовой, 100г",216.49,100г,Lenta,black_tea,100.0,2164.9,,,,
6550,"Чай черный TEATALE Christmas Time байховый с ароматом сливы среднелистовой, 50г",135.49,50г,Lenta,black_tea,50.0,2709.8,,,,
6551,"Чай черный WILLIAMS Bright Crystal OPA отборный цейлонский, крупнолистовой, 100г",216.49,100г,Lenta,black_tea,100.0,2164.9,,,,
6553,"Чай зеленый ВЫБОР СЕМЬИ байховый с ароматом жасмина, крупнолистовой, 100г",136.89,100г,Lenta,green_tea,100.0,1368.8999999999999,,,,
6555,"Чай черный АЗЕРЧАЙ Байховый букет, 25пак",125.99,25пак,Lenta,black_tea,,,25.0,5.0396,,
6556,"Чай черный TEATONE Пряный апельсин с апельсином и перцем, 15пак",339.99,15пак,Lenta,black_tea,,,15.0,22.666,,
6557,"Чай черный TEATONE с ароматом барбариса, 15пак",230.99,15пак,Lenta,black_tea,,,15.0,15.399333333333335,,
6558,"Чай черный 365 ДНЕЙ байховый с ароматом лимона, 100пак",119.49,100пак,Lenta,black_tea,,,100.0,1.1948999999999999,,
6559,"Чай черный BASILUR Винтажные цветы Жасминовая мечта, листовой, 75г",389.47,75г,Lenta,black_tea,75.0,5192.933333333333,,,,
6560,"Чай зеленый BASILUR Винтажные цветы Цветочный букет, листовой, 75г",389.47,75г,Lenta,green_tea,75.0,5192.933333333333,,,,
6561,"Чай зеленый BASILUR Винтажные цветы Тропическая страсть, листовой, 75г",389.47,75г,Lenta,green_tea,75.0,5192.933333333333,,,,
6567,"Чай черный NADIN с чабрецом, крупнолистовой, 50г",108.49,50г,Lenta,black_tea,50.0,2169.7999999999997,,,,
6569,"Чай зеленый ВЫБОР СЕМЬИ мелколистовой, 25пак",36.89,25пак,Lenta,green_tea,,,25.0,1.4756,,
6570,"Чай черный ВЫБОР СЕМЬИ мелколистовой, 25пак",36.89,25пак,Lenta,black_tea,,,25.0,1.4756,,
6571,"Чай черный ВЫБОР СЕМЬИ с мятой, 25пак",42.19,25пак,Lenta,black_tea,,,25.0,1.6876,,
6572,"Чай черный ВЫБОР СЕМЬИ с ароматом клубники, 25пак",42.19,25пак,Lenta,black_tea,,,25.0,1.6876,,
6573,"Чай черный ВЫБОР СЕМЬИ с ароматом лесных ягод, 25пак",42.19,25пак,Lenta,black_tea,,,25.0,1.6876,,
6574,"Чай зеленый ВЫБОР СЕМЬИ с ароматом жасмина, 25пак",42.19,25пак,Lenta,green_tea,,,25.0,1.6876,,
6575,"Чай зеленый ВЫБОР СЕМЬИ с ароматом лайма, 25пак",43.49,25пак,Lenta,green_tea,,,25.0,1.7396,,
6576,"Чай черный ВЫБОР СЕМЬИ мелколистовой, 100пак",126.39,100пак,Lenta,black_tea,,,100.0,1.2639,,
6577,"Чай черный ВЫБОР СЕМЬИ с чабрецом, 100пак",130.49,100пак,Lenta,black_tea,,,100.0,1.3049000000000002,,
6578,"Чай зеленый ВЫБОР СЕМЬИ с мелиссой, 100пак",126.39,100пак,Lenta,green_tea,,,100.0,1.2639,,
6579,"Чай зеленый ВЫБОР СЕМЬИ с ароматом бергамота, 50г",63.19,50г,Lenta,green_tea,50.0,1263.8,,,,
6580,"Чай черный ВЫБОР СЕМЬИ с ароматом Бергамота, среднелистовой, 100г",92.49,100г,Lenta,black_tea,100.0,924.9,,,,
6581,"Чай черный ВЫБОР СЕМЬИ с чабрецом, среднелистовой, 100г",91.49,100г,Lenta,black_tea,100.0,914.9,,,,
6582,"Чай черный ВЫБОР СЕМЬИ с мятой, среднелистовой, 100г",91.49,100г,Lenta,black_tea,100.0,914.9,,,,
6583,"Чай черный ЛЕНТА крупнолистовой, 200г",189.49,200г,Lenta,black_tea,200.0,947.45,,,,
6584,"Чай зеленый ВЫБОР СЕМЬИ мелкий, листовой, 100пак",151.99,100пак,Lenta,green_tea,,,100.0,1.5199,,
6587,"Чай черный JOLLY в пакетиках для разовой заварки, 100пак",315.79,100пак,Lenta,black_tea,,,100.0,3.1579,,
6588,"Чай черный JOLLY в пакетиках для разовой заварки, 25пак",105.29,25пак,Lenta,black_tea,,,25.0,4.211600000000001,,
6589,"Чай черный ВЫБОР СЕМЬИ байховый гранулированный, 180г",115.79,180г,Lenta,black_tea,180.0,643.2777777777778,,,,
6590,"Чай черный ВЫБОР СЕМЬИ байховый гранулированный, 100г",73.69,100г,Lenta,black_tea,100.0,736.9,,,,
6591,"Чай черный BERNLEY Садовые фрукты, 100пак",263.19,100пак,Lenta,black_tea,,,100.0,2.6319,,
6592,"Чай черный AKBAR Сливочная карамель, листовой, 100г",545.26,100г,Lenta,black_tea,100.0,5452.6,,,,
6593,"Чай черный BERNLEY Лесные ягоды, 100пак",263.19,100пак,Lenta,black_tea,,,100.0,2.6319,,
6594,"Чай черный AKBAR Грейпфрут и арбуз, листовой, 100г",545.26,100г,Lenta,black_tea,100.0,5452.6,,,,
6595,"Чай черный AKBAR Смородина и мята, листовой, 100г",545.26,100г,Lenta,black_tea,100.0,5452.6,,,,
6599,"Чай черный RICHARD Royal Mango&Acai berry, 25пак",172.63,25пак,Lenta,black_tea,,,25.0,6.9052,,
6600,"Чай черный RICHARD Royal Moro orange&Passion flower, 25пак",203.15,25пак,Lenta,black_tea,,,25.0,8.126,,
6601,"Чай черный CURTIS Perfect Brunch листовой, 100г",227.36,100г,Lenta,black_tea,100.0,2273.6,,,,
6602,"Чай черный CURTIS Tender Moments листовой, 100г",235.78,100г,Lenta,black_tea,100.0,2357.8,,,,
6603,"Чай зеленый CURTIS Mango Mood листовой, 100г",223.15,100г,Lenta,green_tea,100.0,2231.5,,,,
6605,"Чай черный HERBARUS с добавками шиповник, гибискус, 24пак",318.49,24пак,Lenta,black_tea,,,24.0,13.270416666666668,,
6607,"Чай черный KIOKO с ароматом бергамота, 25пак",343.15,25пак,Lenta,black_tea,,,25.0,13.725999999999999,,
6608,"Чай черный KIOKO Индийский крепкий с ароматом и солодовым вкусом, 25пак",162.49,25пак,Lenta,black_tea,,,25.0,6.4996,,
6609,"Чай черный KIOKO с ароматом японской сакуры, 25пак",343.15,25пак,Lenta,black_tea,,,25.0,13.725999999999999,,
6610,"Чай зеленый ЧЕРНЫЙ ДРАКОН Китайский с имбирем байховый листовой, 100г",216.49,100г,Lenta,green_tea,100.0,2164.9,,,,
6612,"Чай черный CURTIS Hawaii Sunkiss, 20пак",146.31,20пак,Lenta,black_tea,,,20.0,7.3155,,
6614,"Чай черный ЛИСМА Бергамот крепкий, 25пак",73.68,25пак,Lenta,black_tea,,,25.0,2.9472000000000005,,
6616,"Чай черный ЛИСМА Садовые ягоды с чабрецом, 25пак",59.99,25пак,Lenta,black_tea,,,25.0,2.3996,,
6618,"Чай черный IN-STICK Top choice, 12пак",126.31,12пак,Lenta,black_tea,,,12.0,10.525833333333333,,
6619,"Чай зеленый IN-STICK Top choice с жасмином, 12пак",126.31,12пак,Lenta,green_tea,,,12.0,10.525833333333333,,
6620,"Чай черный IN-STICK Top choice Ассорти 1 Бергамот, чабрец, мята, 12пак",126.31,12пак,Lenta,black_tea,,,12.0,10.525833333333333,,
6621,"Чай черный IN-STICK Top choice с бергамотом, 12пак",126.31,12пак,Lenta,black_tea,,,12.0,10.525833333333333,,
6622,"Чай черный IN-STICK Top choice Ассорти 3 Апельсин-миндаль, трюфель-какао, амаретто, 12пак",126.31,12пак,Lenta,black_tea,,,12.0,10.525833333333333,,
6623,"Чай черный NADIN С Праздником, крупнолистовой, 50г",154.99,50г,Lenta,black_tea,50.0,3099.8,,,,
6624,"Чай черный NADIN Счастливого Нового года! крупнолистовой, 50г",154.99,50г,Lenta,black_tea,50.0,3099.8,,,,
6625,"Чай черный МАЙСКИЙ Новогодний медальон, листовой, 20г",216.49,20г,Lenta,black_tea,20.0,10824.5,,,,
6627,"Чай черный TEATALE Новогодняя мечта Бодрящий бергамот, 50г",135.49,50г,Lenta,black_tea,50.0,2709.8,,,,
6628,"Чай черный TEATALE Мелодия Рождества Варежки, 50г",135.49,50г,Lenta,black_tea,50.0,2709.8,,,,
6629,"Чай черный TEATALE Время подарков, 50г",135.49,50г,Lenta,black_tea,50.0,2709.8,,,,
6630,"Чай черный ВКУСЫ МИРА Праздничный апельсин, листовой, 50г",243.99,50г,Lenta,black_tea,50.0,4879.8,,,,
6631,"Чай черный ВКУСЫ МИРА Альпийский глинтвейн, листовой, 50г",243.99,50г,Lenta,black_tea,50.0,4879.8,,,,
6633,"Чай черный ЛЕНТА Русские узоры Дикая вишня, 20пир",292.49,20пир,Lenta,black_tea,,,20.0,14.624500000000001,,
6634,"Чай черный ЛЕНТА Русские узоры с ароматом клубника со сливками, 20пир",292.49,20пир,Lenta,black_tea,,,20.0,14.624500000000001,,
6635,"Чай черный ЛЕНТА Русские узоры Клубника со сливками, листовой, 85г",378.99,85г,Lenta,black_tea,85.0,4458.705882352941,,,,
6636,"Чай черный ЛЕНТА Русские узоры с облепихой и грушей, листовой, 85г",378.99,85г,Lenta,black_tea,85.0,4458.705882352941,,,,
6638,"Чай черный ЛЕНТА Апельсиновый новый год ароматизированный с добавками растительного сырья, 20г",263.15,20г,Lenta,black_tea,20.0,13157.499999999998,,,,
6640,"Чай черный KIOKO REVITA CHIKARA, 25пак",231.59,25пак,Lenta,black_tea,,,25.0,9.2636,,
6642,"Чай черный TEATALE Garden Flowers Purple байховый с чабрецом, среднелистовой, 50г",146.31,50г,Lenta,black_tea,50.0,2926.2000000000003,,,,
6643,"Чай черный TEATALE Garden Flowers Pink с лесными ягодами байховый, среднелистовой, 50г",146.31,50г,Lenta,black_tea,50.0,2926.2000000000003,,,,
6644,"Чай зеленый TEATALE Garden Flowers Blue с мятой, листовой, 50г",146.31,50г,Lenta,green_tea,50.0,2926.2000000000003,,,,
6655,"Чай зеленый BASILUR Фруктовое вдохновение ассорти, 60г",652.63,60г,Lenta,green_tea,60.0,10877.166666666666,,,,
6656,"Чай зеленый BASILUR Цветочная гармония Цветущая вишня, 75г",884.2,75г,Lenta,green_tea,75.0,11789.333333333334,,,,
6657,"Чай зеленый BASILUR Цветочная гармония Бархатный персик, 75г",884.2,75г,Lenta,green_tea,75.0,11789.333333333334,,,,
6660,"Чай черный AKBAR с ароматом лимона, 25пак",82.19,25пак,Lenta,black_tea,,,25.0,3.2876,,
6661,"Чай зеленый AHMAD TEA с жасмином, 100пак",592.63,100пак,Lenta,green_tea,,,100.0,5.9263,,
6663,"Чай черный МАЙСКИЙ Душистый чабрец с лимоном, 25пак",97.89,25пак,Lenta,black_tea,,,25.0,3.9156,,
6664,"Чай черный МАЙСКИЙ Сладкая малина с мятой, 25пак",97.89,25пак,Lenta,black_tea,,,25.0,3.9156,,
6665,"Чай черный МАЙСКИЙ Сочная смородина с мятой, 25пак",129.47,25пак,Lenta,black_tea,,,25.0,5.1788,,
6666,"Чай черный МАЙСКИЙ Ароматный бергамот, 25пак",97.89,25пак,Lenta,black_tea,,,25.0,3.9156,,
6667,"Чай черный RICHARD ROYAL Garden Bouquet, 100саш",543.15,100саш,Lenta,black_tea,,,100.0,5.4315,,
6668,"Чай черный RICHARD ROYAL Legend of Africa, 100саш",543.15,100саш,Lenta,black_tea,,,100.0,5.4315,,
6669,"Чай черный RICHARD ROYAL Bergamot&Vanilla, 100саш",543.15,100саш,Lenta,black_tea,,,100.0,5.4315,,
6672,"Чай зеленый AKBAR Классический, 25пак",90.59,25пак,Lenta,green_tea,,,25.0,3.6236,,
6673,"Чай черный AKBAR Gold цейлонский крупнолистовой, 100г",292.63,100г,Lenta,black_tea,100.0,2926.2999999999997,,,,
6676,"Чай черный RICHARD ROYAL Garden Bouquet, 25саш",171.59,25саш,Lenta,black_tea,,,25.0,6.8636,,
6677,"Чай черный RICHARD ROYAL Legend Of Africa, 25саш",171.59,25саш,Lenta,black_tea,,,25.0,6.8636,,
6678,"Чай черный RICHARD ROYAL Bergamot&Vanilla, 25саш",171.59,25саш,Lenta,black_tea,,,25.0,6.8636,,
6679,"Чай черный ПРИНЦЕССА НУРИ Высокогорный листовой, 100г",130.59,100г,Lenta,black_tea,100.0,1305.9,,,,
6680,"Чай черный ШАХ ГОЛД Индийский, 25пак",106.39,25пак,Lenta,black_tea,,,25.0,4.2556,,
6688,Окорок свиной ЛЕНТА FRESH на кости,615.89,,Lenta,pork_leg,,,,,,
6699,"Окорок свиной ЛЕНТА FRESH бескостный, весовой",463.19,,Lenta,pork_leg,1000.0,463.19,,,,
6718,"Окорок из свинины, бескостный, вакуумная упаковка, весовой",648.41,,Lenta,pork_leg,1000.0,648.41,,,,
6723,"Хлеб пшеничный HARRY'S Аmerican sandwich, 470г",126.31,470г,Lenta,bread,470.0,268.74468085106383,,,,
6724,"Хлеб ХЛЕБНЫЙ ДОМ Тостовый, в нарезке, 500г",110.49,500г,Lenta,bread,500.0,220.98,,,,
6725,"Хлеб формовой ХЛЕБОЗАВОД №28 Украинский новый, в нарезке, 700г",53.49,700г,Lenta,bread,700.0,76.41428571428571,,,,
6726,"Хлеб ХЛЕБОЗАВОД №22 8 злаков, в нарезке, 270г",111.99,270г,Lenta,bread,270.0,414.77777777777777,,,,
6727,"Хлеб ХЛЕБОЗАВОД №22 Дарницкий, 700г",62.99,700г,Lenta,bread,700.0,89.9857142857143,,,,
6728,"Батон КОЛОМЕНСКОЕ Нарезной, в нарезке, 400г",71.49,400г,Lenta,bread,400.0,178.725,,,,
